transcript_stable_ID,Count...1,Count...2,Count...3,Count...4,Count...5
B0511.8,921,1327,1067,1502,1041
B0511.9,114,175,101,71,158
B0513.1,788,1832,1242,614,807
B0513.2,539,723,610,789,1055
B0513.3,5626,5983,5784,5447,6741
B0513.4,2319,4216,5237,3723,5022
B0513.5,91,59,73,42,35
B0513.6,7,35,20,29,6
B0513.9,97,360,544,667,186
B0523.1,10,16,19,2,11
B0523.3,272,265,230,260,299
B0523.5,409,704,589,193,472
B0524.2,1,5,9,5,0
B0524.3,0,1,0,0,0
B0524.4,0,0,1,6,1
B0524.5,2,5,3,19,6
B0524.6,207,333,181,359,388
B0545.1,122,290,204,102,133
B0545.3,1,9,9,23,1
B0545.4,4,22,28,17,15
B0546.1,1402,1659,1249,1113,1887
B0546.2,333,461,472,247,407
B0546.3,360,647,508,323,555
B0546.4,48,93,51,21,45
B0546.5,1,5,13,4,0
B0547.1,806,1125,906,869,1066
B0547.2,0,0,2,0,0
B0547.4,0,0,0,0,0
B0554.1,1,9,1,2,0
B0554.2,0,0,0,2,0
B0554.3,0,0,0,0,0
B0554.4,0,2,2,0,2
B0554.5,24,39,50,85,27
B0554.6,0,9,22,21,10
B0554.7,1,6,6,0,0
B0563.1,8,7,21,8,15
B0563.10,1,17,38,79,0
B0563.18,2,0,2,7,1
B0563.2,7,34,20,2,7
B0563.4,117,301,268,185,207
B0563.5,13,64,76,83,19
B0563.6,28,145,122,48,38
B0563.7,3,24,57,66,10
B0563.8,1,11,9,15,6
B0563.9,5,400,1264,2929,19
B0564.1,1223,1863,1419,1054,1669
B0564.10,11,42,69,23,24
B0564.11,204,255,196,108,389
B0564.2,62,56,69,64,57
B0564.3,24,46,71,72,24
B0564.4,0,7,5,2,4
B0564.6,62,261,266,160,81
B0564.7,321,554,549,353,494
B0564.9,62,261,266,160,81
BE0003N10.1,258,248,163,130,336
BE0003N10.2,76,89,39,56,75
BE0003N10.3,29,89,97,43,52
BE10.1,1,0,1,3,0
BE10.2,0,12,10,14,9
BE10.3,9,29,18,8,6
BE10.4,11,98,99,107,59
BE10.5,1,3,4,11,6
C01A2.1,10,43,28,31,21
C01A2.2,10,16,19,19,8
C01A2.3,40,38,50,36,36
C01A2.4,919,3328,4724,5137,1623
C01A2.5,420,1124,1070,682,733
C01A2.6,0,4,10,16,1
C01A2.7,8,15,40,7,15
C01A2.9,0,1,3,3,1
C01B10.10,27,54,76,58,66
C01B10.11,127,387,367,162,218
C01B10.3,122,380,481,486,206
C01B10.4,12,18,36,40,31
C01B10.44,1,0,3,2,1
C01B10.5,9,803,526,84,149
C01B10.6,1448,3984,4309,6095,3308
C01B10.7,0,6,6,1,2
C01B10.8,713,803,720,915,814
C01B10.9,173,220,248,251,244
C01B12.1,9,2,10,5,4
C01B12.2,36,54,44,10,19
C01B12.3,23,147,57,62,47
C01B12.4,6,10,14,16,2
C01B12.5,10,27,33,34,13
C01B12.8,81,97,75,68,140
C01B4.1,0,0,0,3,0
C01B4.10,0,1,1,0,2
C01B4.3,0,10,0,8,0
C01B4.5,2,4,4,15,0
C01B4.6,28,88,34,32,36
C01B4.7,18,101,130,42,33
C01B4.8,7,15,19,23,12
C01B4.9,45,61,51,21,45
C01B7.1,362,784,650,273,507
C01B7.3,11,36,55,38,26
C01B7.4,70,495,294,113,80
C01B7.5,0,0,2,2,0
C01B7.6,158,558,478,192,223
C01B7.7,1,1,5,2,4
C01B9.1,11,26,7,43,8
C01B9.4,0,7,8,3,2
C01C10.1,19,100,94,39,43
C01C10.2,10,14,21,23,13
C01C10.3,38,179,148,54,51
C01C10.4,29,190,137,36,47
C01C4.1,38,107,403,244,70
C01C4.2,1,2,0,3,0
C01C4.3,40,57,108,98,50
C01C7.1,1027,1673,1448,996,1473
C01F1.1,859,1874,1992,1629,1526
C01F1.2,262,301,354,177,312
