GeneID	Count	CPM	RPKM
C37H5.5	553	68.9231899299843	29.4921651390604
C37H5.6	68	8.47518429518794	6.1682564011557
C37H5.8	560	69.795635372136	35.3574647275258
C37H5.9	676	84.2533026992213	51.342658561378
C38C10.1	98	12.2142361901238	10.0034694431808
C38C10.2	169	21.0633256748053	14.2127703608673
C38C10.3	18	2.24343113696151	2.47619330790454
C38C10.4	41	5.11003758974567	3.2383001202444
C38C10.5	285	35.5209930018906	7.80509624299948
C38C10.6	140	17.448908843034	84.2942456185217
C38C3.1	2	0.249270126329057	0.249519645975032
C38C3.10	333	41.503476033788	133.023961646756
C38C3.2	19	2.36806620012604	2.34230089033239
C38C3.3	27	3.36514670544227	3.67775596223199
C38C3.4	24	2.99124151594868	3.92551380045759
C38C3.5	104	12.962046569111	20.2848929094068
C38C3.6	2	0.249270126329057	0.610956191982983
C38C3.7	13	1.62025582113887	0.839945993332748
C38C3.8	6	0.747810378987171	1.3188895572966
C38C3.9	4	0.498540252658114	0.416491439146294
C38C5.1	10	1.24635063164529	1.66847474115835
C38C6.2	47	5.85784796873284	3.01329628021237
C38C6.3	0	0	0
C38C6.4	19	2.36806620012604	2.19265388900559
C38C6.5	2	0.249270126329057	0.187139734481274
C38C6.6	8	0.997080505316228	0.548449122836209
C38D4.1	138	17.1996387167049	12.3827492560871
C38D4.3	1248	155.544558829332	29.0466029559909
C38D4.4	432	53.8423472870763	32.2216321287111
C38D4.5	83	10.3447102426559	4.11484098753217
C38D4.6	101	12.5881413796174	15.4835687326167
C38D4.7	10	1.24635063164529	1.48375075195867
C38D4.8	0	0	0
C38D4.9	658	82.0098715622597	127.147087693426
C38D9.1	7	0.8724454421517	0.718062092305925
C38D9.2	136	16.9503685903759	11.4374956750175
C38D9.4	0	0	0
C38D9.5	54	6.73029341088454	1.84796634016599
C38D9.6	0	0	0
C38D9.7	31	3.86368695810038	3.17215678004958
C38D9.8	1	0.124635063164528	0.120420350883602
C38D9.9	7	0.8724454421517	0.845392870302034
C38H2.1	20	2.49270126329057	0.909081423519537
C38H2.2	5	0.623175315822643	0.532628475062088
C38H2.3	0	0	0
C39B10.1	13	1.62025582113887	0.924803550878351
C39B10.2	53	6.60565834772001	3.89714356797641
C39B10.3	85	10.5939803689849	22.9306934393613
C39B10.4	4	0.498540252658114	1.35105759527944
C39B10.5	0	0	0
C39B10.6	176	21.935771116957	100.163338433594
C39B10.7	0	0	0
C39B5.1	15	1.86952594746793	1.74558911995138
C39B5.10	0	0	0
C39B5.11	3	0.373905189493585	0.383492502044703
C39B5.12	8	0.997080505316228	1.01950971913725
C39B5.14	6	0.747810378987171	0.755364019178961
C39B5.2	187	23.3067568117668	18.9485827737942
C39B5.3	10	1.24635063164529	1.37112280709052
C39B5.4	66	8.22591416885888	9.01964272901193
C39B5.5	0	0	0
C39B5.6	211	26.2979983277155	17.2899397289385
C39B5.7	6	0.747810378987171	0.853664816195401
C39B5.8	0	0	0
C39B5.9	66	8.22591416885888	8.84506899877299
C39D10.1	0	0	0
C39D10.11	38	4.73613240025208	3.61261052650807
C39D10.2	55	6.85492847404907	22.1842345438481
C39D10.3	30	3.73905189493586	3.44295754598145
C39D10.5	1	0.124635063164528	0.2141495930662
C39D10.6	76	9.47226480050417	13.7878672496422
C39D10.7	16199	2018.9633882022	574.221668999487
C39D10.8	0	0	0
C39D10.9	5	0.623175315822643	6.92417017580714
C39E6.1	17	2.11879607379698	1.38755473071184
C39E6.2	0	0	0
C39E6.4	36	4.48686227392303	4.37316011103609
C39E6.6	30	3.73905189493586	2.72128958874516
C39E9.10	8	0.997080505316228	0.679673146091498
C39E9.11	2073	258.368485940068	212.125193711057
C39E9.12	271	33.7761021175872	27.4602456240547
C39E9.13	3050	380.136942651812	356.936096386678
C39E9.14	670	83.5054923202341	62.6918110512268
C39E9.2	557	69.4217301826424	110.720462811232
C39E9.3	27	3.36514670544227	3.63014747081151
C39E9.4	17	2.11879607379698	3.36316837110632
C39E9.5	7	0.8724454421517	1.38483403516143
C39E9.6	26	3.24051164227774	5.11929169396168
C39E9.7	23	2.86660645278416	1.79611933131839
C39E9.8	68	8.47518429518794	11.3456282398768
C39E9.9	0	0	0
C39F7.1	38	4.73613240025208	5.26236933361343
C39F7.2	4	0.498540252658114	0.216945279659754
C39F7.4	74	9.22299467417511	14.9239396022251
C39F7.5	33	4.11295708442944	2.06785172671163
C39H7.1	32	3.98832202126491	4.30239700244327
C39H7.4	437	54.465522602899	46.3142199004243
C39H7.5	1	0.124635063164528	0.12551365877596
C39H7.6	14	1.7448908843034	1.78414200849018
C39H7.7	37	4.61149733708755	4.71523245100977
C39H7.8	18	2.24343113696151	2.24567681377529
C39H7.9	29	3.61441683177133	3.7768200958948
C40A11.1	0	0	0
C40A11.10	0	0	0
C40A11.2	14	1.7448908843034	2.71789857368131
C40A11.3	61	7.60273885303624	10.9234753635578
C40A11.4	68	8.47518429518794	12.3365128023114
C40A11.5	22	2.74197138961963	3.19577085037253
C40A11.6	29	3.61441683177133	5.50139548214814
C40A11.7	0	0	0
C40A11.8	5	0.623175315822643	1.6228523849548
C40C9.1	3	0.373905189493585	0.34146592647816
C40C9.2	7	0.8724454421517	0.543579714736261
C40C9.3	0	0	0
C40C9.4	14	1.7448908843034	8.07819853844166
C40C9.5	37	4.61149733708755	1.81269549413819
C40D2.1	0	0	0
C40D2.2	105	13.0866816322755	9.9822132969302
C40D2.3	24	2.99124151594868	2.25583824732178
C40D2.4	5	0.623175315822643	1.40354800860956
C40H1.1	39	4.86076746341661	2.88815654391955
C40H1.2	0	0	0
C40H1.3	51	6.35638822139095	4.195635789697
C40H1.4	21	2.6173363264551	2.9878268566839
C40H1.5	1258	156.790909460977	373.311689192802
C40H1.6	105	13.0866816322755	26.7621301273527
C40H1.7	11	1.37098569480981	1.17479493985417
C40H1.8	20	2.49270126329057	2.42245020727947
C40H1.9	1	0.124635063164528	0.118700060156694
C40H5.1	0	0	0
C40H5.2	0	0	0
C40H5.4	29	3.61441683177133	1.48925291791155
C40H5.5	17	2.11879607379698	1.72259843398129
C40H5.7	1	0.124635063164528	0.441968309094073
C41A3.1	217	27.0458087067027	1.16281046935391
C41A3.2	57	7.10419860037812	3.03987958937874
C41C4.1	15	1.86952594746793	1.8884100479474
C41C4.10	89	11.092520621643	11.137068897232
C41C4.2	14	1.7448908843034	1.5719737696427
C41C4.3	16	1.99416101063246	1.05343951961567
C41C4.4	132	16.4518283377178	5.6652301438422
C41C4.5	34	4.23759214759397	1.46680240484388
C41C4.6	74	9.22299467417511	8.02697534741089
C41C4.7	1696	211.38106712704	173.976186935836
C41C4.8	1203	149.935980986928	61.6259683464561
C41C4.9	3	0.373905189493585	1.14344094646356
C41D11.1	85	10.5939803689849	9.78206866942283
C41D11.10	79	9.84616998999775	19.5360515674559
C41D11.2	69	8.59981935835247	7.83225806771627
