X,L4440_1,L4440_2,L4440_3,Y37A1B_5_1,Y37A1B_5_2,Y37A1B_5_3
WBGene00000293,6218,6606,6562,6305,7930,7248
WBGene00000294,3152,3327,3178,2689,3645,3135
WBGene00000295,23,38,31,21,16,25
WBGene00000296,49,49,54,21,56,41
WBGene00000298,401,414,426,504,611,654
WBGene00000301,23066,25144,23342,13671,19996,20218
WBGene00000302,33,43,55,58,87,63
WBGene00000308,2,3,2,0,2,1
WBGene00000310,0,0,0,0,0,0
WBGene00000311,0,0,0,0,0,0
WBGene00000366,12947,13335,13192,9597,12930,7692
WBGene00000367,395,388,386,316,397,336
WBGene00000368,239,223,231,247,300,234
WBGene00000369,4454,4575,4903,4665,6041,4872
WBGene00000370,1935,1871,2173,1907,2375,2086
WBGene00000371,6714,6856,6650,6720,10001,9836
WBGene00000372,61,59,64,54,54,65
WBGene00000373,314,390,411,268,384,321
WBGene00000374,395,427,388,306,445,403
WBGene00000375,1781,1921,2096,2062,2672,2755
WBGene00000376,21087,22276,22036,20012,27002,25386
WBGene00000377,13377,14051,13586,13140,17675,13025
WBGene00000378,10996,11696,12033,11466,14998,9681
WBGene00000379,11362,11733,11389,10866,14757,10142
WBGene00000380,18642,20307,19223,17703,24410,18973
WBGene00000381,12760,12558,12773,12378,16896,12189
WBGene00000382,4687,4821,5021,4786,6203,4258
WBGene00000383,8350,8512,9524,7886,10288,7868
WBGene00000386,8797,9286,10359,10301,13159,10296
WBGene00000387,3723,3988,4055,2791,3945,3103
WBGene00000388,1727,1830,2022,1982,2650,2475
WBGene00000389,2,0,3,2,4,0
WBGene00000390,7552,7497,8206,8155,10175,9343
WBGene00000391,34,61,50,50,62,44
WBGene00000392,913,916,1006,1018,1370,1375
WBGene00000393,1134,1071,1104,975,1304,964
WBGene00000395,658,873,799,631,801,566
WBGene00000396,10618,12717,11063,6220,9508,5455
WBGene00000397,150,188,141,83,178,100
WBGene00000399,69,98,70,26,54,47
WBGene00000401,194,207,237,74,135,119
WBGene00000402,137,182,200,105,145,144
WBGene00000403,1595,1751,1722,1332,1821,1342
WBGene00000405,11999,12786,12682,12129,16134,13669
WBGene00000406,592,713,756,581,705,784
WBGene00000407,1639,1629,1815,1740,2298,1754
WBGene00000408,3406,3494,3860,3718,4853,4878
WBGene00000409,3796,3787,4100,4073,5199,4623
WBGene00000410,1721,1683,1773,1614,2223,1904
WBGene00000411,14709,15416,15602,13530,17833,14748
WBGene00000412,25,31,29,22,37,37
WBGene00000413,4672,5106,5153,4140,5216,4288
WBGene00000414,1907,2004,2054,1441,1865,1917
WBGene00000415,5074,5418,6025,5364,6612,6705
WBGene00000416,2734,2796,2937,2980,4046,3418
WBGene00000417,8434,7907,9229,9188,11554,9315
WBGene00000418,2040,2203,2228,2061,2688,2635
WBGene00000419,5099,5352,5610,5072,6400,5013
WBGene00000420,2703,2480,2984,2920,3671,3289
WBGene00000421,11112,11549,12146,10546,13114,9513
WBGene00000422,394,427,429,332,435,448
WBGene00000423,3434,3437,3982,3598,4981,4832
WBGene00000424,2086,2194,2203,2156,2611,2494
WBGene00000425,1114,1273,1274,590,829,863
WBGene00000426,4780,4897,5067,4902,5767,5292
WBGene00000427,8,5,6,2,7,13
WBGene00000428,12,4,10,10,14,8
WBGene00000429,18,12,12,8,14,4
WBGene00000430,33,48,41,37,37,60
WBGene00000431,37,23,28,28,43,36
WBGene00000432,1,1,3,1,1,3
WBGene00000433,20,15,20,15,18,18
WBGene00000434,2,2,1,2,5,4
WBGene00000435,315,387,364,171,271,260
WBGene00000436,2,2,2,0,2,4
WBGene00000437,735,782,722,408,612,620
WBGene00000438,35,40,48,43,39,34
WBGene00000439,460,524,480,230,364,390
WBGene00000440,4,3,4,2,3,2
WBGene00000441,187,220,221,169,273,158
WBGene00000442,21,45,31,33,35,39
WBGene00000443,1290,1349,1271,894,1197,1128
WBGene00000444,1341,1326,1347,1277,1642,1158
WBGene00000445,21,18,12,14,17,12
WBGene00000446,4,6,4,2,9,6
WBGene00000447,14,9,6,5,10,11
WBGene00000448,411,546,530,235,315,268
WBGene00000449,51,72,60,32,35,34
WBGene00000450,2,3,0,0,1,2
WBGene00000451,34,30,37,18,38,26
WBGene00000452,21,21,23,19,17,14
WBGene00000453,3533,4162,4071,2069,3063,2681
WBGene00000454,12,7,3,7,13,8
WBGene00000455,38,39,31,28,36,35
WBGene00000457,9,19,14,5,14,12
WBGene00000458,511,462,447,340,500,448
WBGene00000459,7278,7250,7660,7303,8582,6206
WBGene00000460,1461,1432,1436,1316,1832,1377
WBGene00000461,680,642,615,463,691,509
WBGene00000462,714,854,833,774,950,999
WBGene00000463,2272,2540,2377,1304,1915,1849
WBGene00000464,4973,5189,5299,4505,5820,4152
WBGene00000465,72808,63892,83248,87729,106636,85593
WBGene00000466,3813,3855,4073,3643,4531,3939
WBGene00000467,3017,3124,3370,3227,4331,4283
WBGene00000468,8,8,10,6,10,6
WBGene00000469,746,851,797,348,461,515
WBGene00000472,14297,14182,13854,12368,16201,14368
WBGene00000473,55610,53430,57989,60205,82477,61409
WBGene00000474,21691,21360,24561,26331,35280,35638
WBGene00000475,23746,24470,23910,24105,31196,25256
WBGene00000476,119,124,119,69,102,78
WBGene00000477,55,74,58,72,88,71
WBGene00000478,878,996,952,468,759,662
WBGene00000479,78230,75936,81345,84533,108602,83166
WBGene00000480,7459,7651,7729,7355,9689,8604
WBGene00000481,38,42,44,22,56,34
WBGene00000482,5431,5881,5456,2988,4377,2680
WBGene00000483,2,0,1,1,1,1
WBGene00000484,13,27,20,18,16,15
WBGene00000485,154,204,165,99,134,116
WBGene00000487,6,10,9,3,8,9
WBGene00000488,38,36,28,35,44,34
WBGene00000490,42,47,52,19,54,37
WBGene00000491,37,56,57,29,44,29
WBGene00000492,55,50,40,21,37,42
WBGene00000493,133,148,138,94,131,159
WBGene00000496,16464,16090,19659,18393,22630,16941
WBGene00000497,397,431,379,281,381,217
WBGene00000498,3042,3108,3381,3243,4442,4170
WBGene00000499,361,407,371,366,415,415
WBGene00000500,3193,3233,3412,3724,4411,4520
WBGene00000501,49,46,43,36,52,36
WBGene00000502,2210,2499,2445,2455,3102,2827
WBGene00000503,22723,24171,22386,11929,18148,13344
WBGene00000506,1126,1177,1240,1183,1542,1402
WBGene00000507,2021,1912,2158,2215,2653,1968
WBGene00000508,1966,2249,2410,1989,2576,2584
