transcript_stable_ID,Nr01,Nr02,Nr03,Nr04,Nr05,Nr06,Nr07,Nr08,Nr09,Nr10,Nr11,Nr12
Y46E12BL.2a,1852,1031,1008,776,927,1077,1024,1275,988,722,693,1085
Y46E12BR.1,4,3,1,4,6,2,4,5,9,5,5,8
Y46G5A.14,8,3,4,7,3,0,4,4,3,2,9,1
Y46G5A.15,174,83,102,99,135,120,105,131,126,92,121,135
Y46G5A.18a,138,61,94,87,87,74,72,133,97,71,76,95
Y46G5A.20,221,60,157,104,158,107,149,137,182,145,232,154
Y46G5A.22a,1,0,0,2,0,0,0,0,0,0,1,0
Y46G5A.23,0,1,0,0,2,0,2,1,0,0,1,0
Y46G5A.28,354,162,259,177,277,174,169,270,237,232,241,245
Y46G5A.29,16,7,14,7,10,11,10,21,11,13,11,12
Y46G5A.34,162,56,74,83,102,65,66,70,97,79,93,79
Y46G5A.39,32,13,12,4,16,10,9,13,15,8,16,10
Y46G5A.7,725,272,458,396,504,334,409,467,619,345,598,539
Y46G5A.8,294,145,231,173,205,162,159,203,203,191,251,205
Y46H3A.4a,28,14,28,16,30,19,14,34,29,21,30,24
Y46H3A.5a,0,0,1,0,0,0,0,0,0,0,0,0
Y46H3C.4,3,2,0,0,2,3,1,3,1,1,1,0
Y46H3C.5,508,260,276,250,325,287,329,369,307,221,237,343
Y46H3C.6,33,21,13,15,21,13,17,28,20,17,19,5
Y46H3C.7,592,316,306,277,314,388,368,510,414,299,289,459
Y46H3D.1,1,0,0,0,0,1,1,1,0,1,0,0
Y46H3D.8,0,0,0,0,0,0,1,0,0,0,0,0
Y47A7.2,212,106,133,93,146,143,170,248,187,180,178,254
Y47C4A.1,0,0,0,0,0,0,0,0,0,0,0,0
Y47D3A.1,458,161,280,221,370,226,243,251,409,190,404,342
Y47D3A.13,27,5,6,12,18,7,12,11,15,14,20,10
Y47D3A.14,798,448,501,424,498,548,552,631,488,514,317,535
Y47D3A.20,330,191,219,183,243,192,201,268,214,253,203,260
Y47D3A.21,1696,867,1012,893,1171,993,1001,1329,1097,1096,775,1167
Y47D3A.31,16,4,8,7,11,10,4,14,7,1,5,12
Y47D3A.32a,66,17,37,33,63,29,48,33,67,45,53,55
Y47D3A.5,8,6,11,5,7,7,7,8,10,6,2,5
Y47D3B.3,46,20,40,30,43,34,36,67,54,52,62,55
Y47D3B.4,114,59,82,57,84,86,68,110,114,90,91,109
Y47D3B.6,25,17,20,10,24,18,44,57,57,35,25,56
Y47D7A.11,0,1,0,0,0,0,0,1,0,0,0,0
Y47D7A.12,5,0,4,1,1,2,2,1,3,0,1,1
Y47D7A.13,45,42,41,31,43,50,106,170,135,99,93,143
Y47D7A.15,7,3,0,6,2,8,1,2,0,0,0,0
Y47D7A.2,0,0,1,0,0,0,0,0,0,0,0,0
Y47D7A.3,0,0,0,0,0,0,1,1,1,0,0,0
Y47D7A.6,4,2,1,2,2,0,1,1,2,1,3,0
Y47D7A.7,1,0,0,0,0,0,0,0,0,1,0,0
Y47D7A.9,0,0,0,0,0,0,1,0,0,0,0,0
Y47D9A.1a,566,283,339,235,330,448,419,584,406,304,296,457
Y47D9A.3,1,0,1,1,3,0,0,0,0,0,1,4
Y47D9A.4,1,1,0,0,1,0,0,1,0,0,2,0
Y47D9A.5,1,2,1,0,0,0,0,1,0,0,0,0
Y47G6A.13,23,8,15,6,8,12,9,19,10,13,15,17
Y47G6A.14,1322,692,714,748,831,762,790,1002,728,706,533,894
Y47G6A.15,23,11,28,21,28,20,15,16,11,8,12,12
Y47G6A.18,1297,749,763,682,885,846,942,1077,1005,633,776,981
Y47G6A.21,656,345,455,375,425,397,416,528,402,397,380,485
Y47G6A.22,1801,712,1111,859,1236,854,846,1111,1078,956,1085,978
Y47G6A.25,1714,840,929,886,947,1025,1040,1269,927,975,636,1087
Y47G6A.26,4,3,6,4,4,0,4,0,1,4,4,2
Y47G6A.3,48,24,37,35,34,31,18,32,37,35,42,33
Y47G6A.30,4,5,8,3,5,1,3,4,3,3,3,7
Y47G6A.31,320,160,219,165,262,188,207,248,219,208,210,263
Y47G6A.32,9,15,15,11,17,12,13,29,18,20,28,29
Y47G6A.33,706,344,645,359,705,538,403,660,569,584,606,747
Y47G6A.5a,20,9,13,10,21,7,16,15,21,11,18,12
Y47G6A.7a,56,26,33,28,41,22,28,33,43,34,53,31
Y47G6A.9,1287,628,829,790,931,671,729,842,822,911,906,863
Y47G7B.2,151,75,79,95,112,83,89,104,73,79,56,97
Y47H10A.2,73,32,42,39,55,61,37,78,45,45,36,64
Y47H10A.3,47,22,26,19,32,15,21,30,36,17,22,22
Y47H10A.4,57,29,48,40,34,30,55,62,54,50,51,49
Y47H10A.5,301,138,176,151,238,121,226,209,256,235,274,251
