external_gene_name,L4440_1,L4440_2,L4440_3,Y37A1B_5_1,Y37A1B_5_2,Y37A1B_5_3
col-92,338,648,432,172,486,354
col-93,431,960,666,298,786,552
col-94,336,700,521,240,593,404
col-95,2636,2404,2705,3004,4326,4052
col-96,42,47,56,49,67,81
col-97,134,237,159,107,170,139
col-98,336,594,439,277,661,617
col-99,818,899,885,412,602,691
col-101,1078,975,1564,2448,3661,4293
col-102,1,0,1,1,0,0
col-103,245,516,379,279,587,510
col-104,77,168,119,71,115,127
col-105,10,16,10,6,7,15
col-106,1859,1786,2387,3487,4536,5026
col-107,367,576,375,184,447,445
col-108,2,5,0,6,0,3
col-109,76,159,122,66,121,105
col-110,6,18,13,5,8,29
col-111,137,159,154,80,120,188
col-113,54,85,73,51,69,75
col-114,2,9,11,3,1,4
col-115,26,58,30,11,42,23
col-116,103,101,85,98,114,103
col-117,1130,1864,1564,630,1361,1518
col-118,70,80,85,89,106,127
col-119,958,1388,1120,2309,3049,2298
col-120,46,80,54,42,69,30
col-121,174,269,220,113,189,196
col-122,2704,2557,3517,5250,7536,6552
col-123,2,5,3,2,2,0
col-124,162,768,497,590,1323,789
col-125,715,1238,895,324,833,876
col-126,16,26,19,10,14,3
col-127,16,26,27,10,12,13
col-128,17,18,14,15,19,26
col-129,43,202,218,109,366,127
col-130,62,134,89,43,90,85
col-131,7,9,7,7,8,11
col-132,15,15,15,8,19,18
col-133,86,266,144,78,149,106
col-135,238,240,188,116,147,101
col-136,5,3,5,1,6,4
col-137,14,45,32,8,28,9
col-138,34,52,58,53,51,66
col-139,30,167,205,90,275,110
col-140,405,813,618,1135,1734,1332
col-141,14,15,8,7,16,12
col-142,96,109,121,127,238,154
col-143,985,1050,1457,2185,3196,2681
col-144,896,1358,1141,428,872,1029
col-145,227,386,295,120,235,227
col-146,138,241,226,93,139,166
col-147,285,395,356,158,317,319
col-148,1,1,0,1,1,1
col-149,61,104,137,22,106,114
col-150,15,32,27,15,31,31
col-151,4,5,2,1,3,2
col-152,1,2,0,4,7,0
col-153,29,57,37,41,41,46
col-154,118,237,167,94,139,130
col-155,107,252,167,105,146,140
col-156,61,197,65,61,66,84
col-157,66,169,91,55,77,114
col-158,114,112,131,194,247,282
col-159,199,406,291,147,328,285
col-160,607,1209,889,550,1209,996
col-161,118,318,146,85,172,133
col-162,93,247,114,69,125,106
col-163,3,8,6,7,5,3
col-164,4,4,6,3,7,5
col-165,221,317,196,169,261,88
col-166,1128,1644,1445,636,1236,1496
col-167,757,1144,1024,355,810,979
col-168,332,550,434,183,342,427
col-169,284,427,346,134,262,358
col-170,202,389,303,122,228,275
col-171,0,0,0,0,0,0
col-172,13,29,18,13,14,22
col-173,15,35,32,17,30,39
col-174,17,31,25,13,13,27
col-175,15,24,30,46,23,35
col-176,192,278,217,81,133,138
col-177,5,7,7,4,12,10
col-178,368,626,515,1075,1504,1248
col-179,203,334,269,543,791,674
col-180,154,298,205,74,143,215
col-181,2456,2263,3217,4766,6519,5850
col-182,14,28,27,8,15,26
col-183,11,2,4,6,15,20
col-184,2092,2179,2626,3612,5114,4665
col-185,0,0,1,0,0,0
col-186,18,15,23,15,20,16
col-187,7,11,13,13,15,21
coq-1,1059,1119,1139,1268,1435,1364
coq-2,1057,1090,1056,1048,1351,1359
coq-3,702,716,684,595,910,854
coq-4,518,609,606,582,769,752
coq-5,1698,1862,2096,2119,2840,2751
coq-6,1454,1469,1684,1426,1891,1743
coq-8,2683,2842,3039,2860,3712,2464
cor-1,74,92,103,79,135,120
cpb-1,2195,2054,2487,2483,3011,2065
cpb-2,33,36,52,24,34,34
cpb-3,8022,7606,8890,8416,10514,6872
cpf-1,3240,3422,3608,3479,4614,4172
cpf-2,3124,3382,3352,3057,4182,3337
cpin-1,112,108,149,157,197,187
cpl-1,24938,26588,21262,23966,32961,25889
cpn-1,7982,7689,8712,8976,11969,11043
cpn-2,115,165,132,96,134,138
cpn-3,673,661,896,1052,1358,1512
cpn-4,921,950,937,959,1227,1225
cpr-1,21625,25292,14998,21300,28575,15060
cpr-2,116,162,89,67,85,47
cpr-3,1954,2199,2143,2068,2657,2293
cpr-4,16644,19815,11707,18962,24247,14202
cpr-5,2057,2115,1613,2966,3853,2685
cpr-6,14448,16369,14349,16173,22113,14313
cps-6,1955,1989,1986,1925,2563,2213
cpz-1,3651,3767,3534,3924,5072,4375
cpz-2,2701,3006,2720,2522,3205,2953
crb-1,1271,1462,1328,730,1045,766
crh-1,1079,1108,1106,1023,1398,1376
crn-1,5324,5639,5822,5408,6946,5607
crn-2,732,782,741,681,883,715
crn-3,6092,6239,6590,5956,7585,5169
crn-4,586,536,617,582,897,838
crn-5,814,791,914,863,1224,1248
crn-6,593,584,477,491,668,638
cars-1,7727,7793,8235,7564,9841,7459
cars-2,640,699,628,486,702,492
crt-1,49539,54538,52102,42587,57505,41085
csb-1,1156,1090,1226,1162,1455,920
csc-1,2900,2876,2995,3046,4341,4568
csk-1,3515,3684,3688,3375,4551,3668
csn-1,3879,4254,4267,4008,5148,5064
csn-2,7170,7803,7826,7343,9110,10242
csn-3,4107,4524,4631,4412,5728,5698
csn-4,4067,4446,4333,4196,5467,5161
csn-5,3449,3565,3712,3523,4810,4464
csn-6,3729,3796,4048,3773,4753,3521
csp-1,22,24,25,31,34,29
csp-2,31,31,28,20,30,16
csp-3,6,8,3,4,11,9
csq-1,519,576,728,609,930,883
ctb-1,23708,26575,24806,31133,31390,28824
ctl-1,1080,1126,1038,1063,1446,1121
ctl-2,2314,2378,2221,2126,3029,2527
ctn-1,1233,1327,1256,900,1290,1183
cts-1,22304,24511,22315,22720,29585,21405
cua-1,4873,5295,5442,4880,6206,4642
cuc-1,965,907,968,973,1307,1369
cul-1,6933,7705,7076,6305,8928,6761
cul-2,8945,9081,9475,8568,11515,7835
cul-3,8751,8759,9621,8987,11685,8116
cul-4,4350,4466,4912,4627,5584,4992
cul-5,4098,4356,4505,4175,5179,4089
cul-6,194,189,193,193,234,230
cup-2,3800,3925,4249,4149,5887,5798
cup-4,175,191,214,227,258,319
cup-5,4441,4491,4759,4657,6189,5518
cut-1,13,7,5,8,18,7
cut-6,30,43,35,34,33,28
cux-7,2278,2510,2493,2290,2866,2501
cwn-1,141,161,137,130,155,157
cwn-2,181,194,184,97,168,162
cwp-1,0,1,1,0,0,1
cwp-2,1,3,0,1,3,1
cwp-3,1,1,0,1,1,0
cwp-4,24,17,15,15,30,18
cya-1,5377,5417,5922,5093,6857,5625
cya-2,55,72,70,44,72,56
cyb-1,21884,22377,21553,19747,26595,18699
cyb-2.1,5561,5149,6075,6644,8419,8087
cyb-2.2,11176,10599,12489,13061,16727,15217
cyb-3,44678,45917,43523,41046,55666,42263
cyc-1,9904,10725,10375,10595,14205,14625
cyd-1,1883,2109,2047,1173,1618,1636
