"249_1813_B"	"291_37_C"	"294_1781_A"	"299_1781_A"	"310_37_C"	"318_1813_B"
"aly-1"	19.2111988145347	21.1054868284266	13.7364560393382	16.219693474466	16.7673272540112	13.1597810273334
"aly-2"	309.970847100585	319.439708686992	301.394486674172	296.076750932972	296.232820300437	304.140713007494
"aly-3"	152.074361271258	151.9302789346	154.520382604669	146.499879718803	149.11604194319	150.459885044447
"ama-1"	56.4177502456521	16.9896660124688	57.0589624199032	46.0013624931983	41.9017550853863	37.9532366769798
"amt-1"	0.445087041500533	0.95784354227762	0.106541776639889	0.859045561622723	0.368155163359111	6.51965793005044
"amt-2"	0.0272328591357879	0.0687984720698199	0.0293346383100267	0.02703142548455	0	0.0737707175615335
"amt-3"	0.38020994731571	0.686089847526785	0.312041000057165	0.305512377944662	0.323477350314175	0.425056871780395
"amt-4"	17.7675532318174	21.8985207768577	20.0432070934223	15.5188949746381	28.8073692477229	16.5146897182441
"amx-1"	8.36130206046725	7.06830085662972	7.47357092396566	6.95099498539635	7.09533378879053	7.21406136662866
"amx-2"	3.12030628334355	4.08571154077111	3.63312405406364	3.84915403791924	3.90278662327369	4.56014515817263
"amx-3"	3.74557402422566	5.11943208922511	4.12775746366921	3.74646808001951	4.71874129813216	3.01788394674519
"anc-1"	0.757758882492833	0.679816197992436	1.09009995837527	0.988123826246472	0.899617482250766	0.916775459782067
"aos-1"	120.857258109478	137.465938997575	125.886057476766	120.441389151537	116.273004636547	118.542059135545
"apc-2"	48.9096407172986	44.0702526325879	53.7714684092604	46.1866620004803	46.5256204150738	45.0585382341985
"apc-10"	45.3310984805416	55.8902024015728	47.6030821311827	44.5113928248848	47.3092466572009	39.8061362137646
