"","logFC","logCPM","LR","PValue"
"WBGene00015310",0.11048290443859,6.4911332715404,0.268305085250802,0.604471008021157
"WBGene00015311",-0.214821387243755,0.402041222896666,0.0719714348621956,0.788487706694573
"WBGene00015312",0.413068804971327,8.05139757045128,2.1228620009021,0.145115148671761
"WBGene00015313",-0.0627860857658045,5.90292643242023,0.0758687320978311,0.782976071148337
"WBGene00015315",0,-3.59875592096187,0,1
"WBGene00015316",0,-3.59875592096187,0,1
"WBGene00015317",0,-3.48058896423466,0,1
"WBGene00015318",-2.22480552097683,-3.48640133605805,0.932875561203021,0.334116825389292
"WBGene00015320",-1.3333254780517,0.50984846794895,2.65308345654063,0.103349253280263
"WBGene00015321",0,-3.59875592096187,0,1
"WBGene00015322",1.10325388979186,-2.33203017330113,0.793935694710445,0.372912704723628
"WBGene00015323",-0.821150546460038,-1.95558030034131,0.524600394874204,0.468885854482127
"WBGene00015324",0.251299635632543,3.05428212908266,0.251216940070613,0.616219493111655
"WBGene00015325",0,-3.59875592096187,0,1
"WBGene00015326",-0.0842210238946904,7.94982121123214,0.116364437918435,0.73301149817716
"WBGene00015327",-0.0320365633886384,5.57613465474442,0.0173529694285151,0.895197325724992
"WBGene00015328",-0.254979482115699,3.66205370018039,0.269789738678604,0.60347285221831
"WBGene00015329",0.0727832045850777,7.05554279353735,0.0969477737288003,0.755523633753281
"WBGene00015330",0.315198089400505,6.45978079586987,1.176021043226,0.278167523194409
"WBGene00015331",2.64711997475522,-2.20000730701403,2.39121239777845,0.122018964068877
"WBGene00015332",-0.280712698689457,3.71003377921547,0.436175678224004,0.508974091847554
"WBGene00015333",-0.128623137606155,1.83784195673297,0.0373520190472583,0.846750100710357
"WBGene00015334",0.179446007976103,0.791223435728524,0.0541170708606161,0.816048138883394
"WBGene00015335",0.526183315239364,-2.18263139707452,0.165292516674171,0.684329840934091
"WBGene00015336",-0.226709716670334,1.42225532590464,0.108595026844608,0.741749382234841
"WBGene00015337",0.0422912591852455,-2.43331493115743,0.00118988821960486,0.972482623642407
"WBGene00015338",-1.38286505104609,-1.67871766654245,0.851195969587486,0.356214223832276
"WBGene00015339",2.48452275936472,-0.0136109290891978,3.04027673854714,0.0812220694579671
"WBGene00015340",0.925662550599646,-1.09615150972433,0.737684924882918,0.390403489922266
"WBGene00015341",2.32676338069536,-3.48256640831324,0.986098781029665,0.320697739403973
"WBGene00015342",0.323477594411969,-1.58808795257123,0.0607216209475814,0.805359003238413
"WBGene00015344",-0.808055280576161,7.74991995298906,9.53205481972019,0.00201913927917031
"WBGene00015345",0.536627669530457,0.0489571991823457,0.414608373760595,0.519639695760685
"WBGene00015346",-0.269263460699666,6.49013471597577,1.58037921848208,0.208706078594464
"WBGene00015347",-0.0192232662186001,6.14131976875358,0.00810954285272736,0.928245097775045
"WBGene00015348",2.9071408862718,0.467597998393593,6.3234535588228,0.0119151348025338
"WBGene00015349",-0.0503252703913464,5.90600893282014,0.0517187443836491,0.820099070856796
"WBGene00015350",-0.147602600575514,5.22677623611168,0.282363258950156,0.595156420310105
"WBGene00015351",0.586087432505352,0.712593120761428,0.509039486399388,0.475554950931125
"WBGene00015352",-0.150216089996066,2.84284353398589,0.0777485144841012,0.780372062440469
"WBGene00015353",-0.10972813057558,4.32231548646206,0.109383206080301,0.740847442401785
"WBGene00015354",0.966897455124748,-0.484433693677529,0.749891374989136,0.386510624269877
"WBGene00015355",-0.9550987860584,2.59027525254065,1.287657262107,0.256480136670762
"WBGene00015356",0.752227013837508,2.52682319345107,1.66808898218958,0.196514695156557
"WBGene00015357",0.389612253959407,4.48987274396001,1.36551954568283,0.242583181898395
"WBGene00015358",0.00616741744716277,-3.18652599850993,7.69203938791319e-06,0.997787107818155
"WBGene00015359",0.949256676247644,0.22950215287351,1.09861792560837,0.294569612022717
"WBGene00015360",2.43659761709694,-2.80130355682031,1.47885342018748,0.223954001542833
"WBGene00015361",0,-3.59875592096187,0,1
"WBGene00015362",-0.983758221795261,1.2490595501322,1.67108966467759,0.196112646423048
"WBGene00015364",-1.71084913283804,-2.31942027679795,1.58680662989929,0.207782971259955
"WBGene00015366",-0.127620221860017,0.51365929347079,0.0259095039496033,0.872121523118747
"WBGene00015367",2.25519461449939,-3.48528471943471,0.951780811005344,0.329266421081016
"WBGene00015368",3.61310460721093,-3.28262287265281,2.05269253031887,0.151937279703939
"WBGene00015369",-0.749322592803846,3.00123202539362,1.46242506045349,0.226544662121064
"WBGene00015371",-0.396300328295439,1.44275821699545,0.331818705277147,0.564590125908531
"WBGene00015372",0,-3.59875592096187,0,1
"WBGene00015373",0.575607716039405,-3.02003336008027,0.11592334592256,0.7334987135036
"WBGene00015374",0,-3.59875592096187,0,1
"WBGene00015375",3.64804799718499,-3.28001060335085,2.08243489709745,0.149002327280264
"WBGene00015376",0.450642853470671,-1.78893654009958,0.180561576226971,0.670891074377756
"WBGene00015377",1.39656370770162,-2.93699656514246,0.700024016046135,0.402775624625181
"WBGene00015378",-0.0536027000923482,3.89741080257903,0.0196675138722355,0.888469646855785
"WBGene00015379",2.25519461449939,-3.48528471943471,0.951780811005344,0.329266421081016
"WBGene00015380",3.61310460721093,-3.28262287265281,2.05269253031887,0.151937279703939
"WBGene00015381",0.171517924608424,2.87406269553337,0.104868818459817,0.746063294210227
"WBGene00015382",-0.0904037704264465,2.22959029096908,0.0206949955153561,0.885612954860572
"WBGene00015385",-0.00886387807047154,2.23296429111519,0.000216809656359729,0.988252007000777
"WBGene00015386",0.628753827012055,-0.192247198659685,0.397409095377848,0.528430350373835
"WBGene00015387",0.201623879373402,-0.924309399796795,0.0504710836775567,0.822245571301962
"WBGene00015388",-1.05223306584112,-1.6375848648994,0.944014883385286,0.331247450810666
"WBGene00015389",-0.98890656601288,5.41772540459129,14.6520488331512,0.000129294022109602
"WBGene00015390",0.100030428134701,2.11201328420008,0.0225860002803451,0.88053866693452
"WBGene00015391",0.0673712655933793,6.38013805505234,0.0936837310012919,0.759545271837555
"WBGene00015392",0.762308234937228,-1.17241823900669,0.47286699218231,0.491671166482168
"WBGene00015393",0.249767547197539,-0.0250113403113876,0.0763717200492486,0.782275924619686
"WBGene00015394",3.13597234530039,-3.37763558452929,1.59110839641053,0.20716784636157
"WBGene00015395",1.02703018329341,-1.73721854436458,0.855389289929219,0.355032190936805
"WBGene00015396",0.512208448851606,-1.51648666760354,0.259041599465904,0.610779354530995
"WBGene00015397",-3.63681296513548,-2.934447328617,2.98038330194252,0.0842793111136358
"WBGene00015398",0,-3.59875592096187,0,1
"WBGene00015399",0,-3.59875592096187,0,1
"WBGene00015400",-2.78597668832717,5.66641807933504,92.352425963461,7.25370376931526e-22
"WBGene00015401",-2.34485279386583,-3.48182744002104,0.990194276813179,0.319694896179926
"WBGene00015402",3.08517430265121,-1.4535316599669,4.38339270026313,0.0362906936109566
"WBGene00015403",0.0562046939455214,4.0798077099264,0.00986065055807472,0.920899436543824
"WBGene00015404",-0.0279458502016266,6.07912916886669,0.0156420292973296,0.900469638553292
"WBGene00015405",-0.172085463912342,6.06617516208302,0.622206230125805,0.430228616746694
"WBGene00015406",1.40331373136214,-2.93834739672644,0.582342486916189,0.445395602887871
"WBGene00015407",-0.177852170874857,1.99090260473302,0.0736888470416517,0.786039646502763
"WBGene00015408",0.552560215612085,-1.39487798756305,0.261012017782075,0.609425736076399
"WBGene00015409",-1.06843784191534,-2.17713341167178,0.6350626603372,0.42550435508663
"WBGene00015410",-0.180855414621606,3.30344014131,0.140555183672923,0.707729707276336
"WBGene00015411",0.029682556187949,-3.38139203900844,0.000128865195565986,0.990942704177295
"WBGene00015412",1.96939672094942,-1.89289186291927,2.59014383076973,0.107530570568184
"WBGene00015413",-0.00772890857981773,7.7461451676662,0.0010320991638082,0.974371329714472
"WBGene00015414",-3.63791820950315,-0.923752337447823,10.0294859193779,0.00154054026901499
"WBGene00015416",-0.5308082711219,-2.60084631051123,0.154562572751168,0.694212782142625
"WBGene00015417",0.691950129697546,-2.79955196284955,0.227555703743404,0.633342190096351
"WBGene00015418",0.532972074441427,6.90480441796474,3.38592087934353,0.0657554371648783
"WBGene00015419",0.0578684647335377,-3.09377129855811,0.000696966797232967,0.978938191470962
"WBGene00015421",4.97942844692068,-2.87117426617193,5.06872970669279,0.0243612295646585
"WBGene00015422",3.7898211760092,-1.56983057317781,6.403683181354,0.0113883859825379
"WBGene00015423",-0.596716734298449,1.74181560020945,0.718116160264145,0.396762538770808
"WBGene00015424",-0.536668314644981,-2.22890771744241,0.125774819498051,0.722853717781174
"WBGene00015425",0.148149720775758,6.52187812281216,0.441005561589748,0.506637512524736
"WBGene00015426",-0.220375498025646,-2.59999818245565,0.0279261465643166,0.867282569150654
"WBGene00015427",-0.416998239254947,-1.19434891558644,0.161133083933417,0.68811544951021
"WBGene00015428",-1.41714037679641,-3.08905675921643,0.468044060014194,0.49388837118963
"WBGene00015429",0.0640684662136487,3.64374765493339,0.0243905161023681,0.87589537102457
"WBGene00015430",-0.0986452849548809,2.07767882584924,0.0248098796577487,0.874841727759062
"WBGene00015432",0,-3.59875592096187,0,1
"WBGene00015433",-0.490827500220029,1.14352531693748,0.418641184819471,0.517615846465092
"WBGene00015434",0.684328451943046,2.37246694023977,0.855453911059936,0.355014017290475
"WBGene00015435",1.27095637653613,-0.931065723958861,1.77347743061021,0.182952304486402
"WBGene00015436",3.09009830726108,-3.27810169221457,1.60892761583496,0.204642611790308
"WBGene00015437",0.000390573161595785,-0.29701956834189,2.06207849018369e-07,0.99963767972058
"WBGene00015438",2.25519461449939,-3.48528471943471,0.951780811005344,0.329266421081016
"WBGene00015439",1.41040028897114,-2.26702968440147,0.946665027921509,0.330569640982385
"WBGene00015440",-0.0633389211657531,-0.124855975898489,0.00546226865233279,0.941084256676261
"WBGene00015441",-0.344929446066255,-0.46644476401062,0.156012657914781,0.692854418018625
"WBGene00015442",0.173238103873005,-1.5964089592885,0.0189665688998293,0.890462370839955
"WBGene00015444",0,-3.48207942760974,0,1
"WBGene00015446",0,-3.59875592096187,0,1
"WBGene00015447",0,-3.59875592096187,0,1
"WBGene00015448",0,-3.37401219479777,0,1
"WBGene00015449",0.290377363941956,2.30172328872707,0.18473535958087,0.667334938310126
"WBGene00015450",-0.152276679155586,6.10185434987302,0.501473206287343,0.478853522403631
"WBGene00015451",0.0655431498134803,5.49225033025681,0.0705662377062772,0.790514116129773
"WBGene00015453",-0.679896379975655,-1.63012840679095,0.42095316406691,0.516461816742046
"WBGene00015454",0.0532100340116225,5.43520751399513,0.0457370406804163,0.830654518094411
"WBGene00015455",0.0981024675221722,0.201446166400386,0.014362310135106,0.904607632386766
"WBGene00015456",0.202904577159757,3.54904319369985,0.206242628094819,0.649728470104058
"WBGene00015457",-0.0213234828149497,-2.1401324397845,0.000344579315132432,0.985189840957687
"WBGene00015458",3.13592094627263,-3.2754857585964,1.64190068985749,0.200064885287984
"WBGene00015459",0,-3.59875592096187,0,1
"WBGene00015460",-0.32554371671485,4.64441742730772,1.09889611789122,0.294508487953545
"WBGene00015461",-0.224405495952743,6.20708313719397,1.08290178826292,0.298049311985731
"WBGene00015462",-0.029616670850051,5.74826043218822,0.0167981036966944,0.896876970258394
"WBGene00015463",0.0380099106731725,7.05094931752091,0.0297701366831831,0.863012823592071
"WBGene00015464",0.38759407143554,4.06607492304076,1.02742943135887,0.310763185904929
"WBGene00015465",-0.809321246939686,-1.63564046682085,0.525144573637688,0.468655365504513
"WBGene00015466",-0.0528353256846715,4.91866028563832,0.0343327161606481,0.853000878290552
"WBGene00015467",3.15968134889493,-0.133240277547999,6.49727376946082,0.0108040031607012
"WBGene00015468",0.225321095468069,6.23435579302667,1.02977074321043,0.310212519574301
"WBGene00015469",-0.58376345704057,5.76886845392244,5.07354977657562,0.0242935859562142
"WBGene00015470",0.0917608213796922,6.63146567773712,0.187862067730443,0.664701988541908
"WBGene00015471",-1.18311847891118,3.09027185341952,5.0551599870879,0.0245527151723893
"WBGene00015472",0.961657061552291,2.90778491583167,3.31913128883654,0.0684780041918386
"WBGene00015473",2.31765802188905,-2.93314672655455,1.39693551247659,0.237237340290979
"WBGene00015474",0.199076962523502,2.95816309193473,0.15264463610683,0.696020752766271
"WBGene00015476",-0.00165318613129368,2.3445141424741,5.63392455177336e-06,0.998106151793299
"WBGene00015477",0.180611375768993,4.42841335969688,0.312598190366821,0.576090191150779
"WBGene00015478",0.139838086106282,0.557048743619928,0.0310158466321693,0.860205038970735
"WBGene00015479",0.195905185054021,1.50691369206653,0.0674280773327025,0.795118976591595
"WBGene00015480",0.0552309898872136,2.69184744462086,0.0101722815920287,0.919663398943209
"WBGene00015481",-0.0387684766473714,7.74059131061687,0.0259698408003715,0.871973993979762
"WBGene00015483",-0.333796211518757,1.66639616772864,0.20900685837395,0.647546934202531
"WBGene00015484",-0.00976346338077464,7.06022027721441,0.00191252778054718,0.965117667147259
"WBGene00015485",0.344787375292777,5.84636617314776,1.74864325330067,0.186047385264005
"WBGene00015486",-0.0124684863711722,6.70855825941116,0.00333117609861411,0.953974576604998
"WBGene00015487",-0.323954193404102,5.30166112750727,1.58135574865709,0.208565516893919
"WBGene00015488",-0.127623884018475,2.5935461716694,0.0508592860484454,0.82157474133842
"WBGene00015489",0,-3.59875592096187,0,1
