wormbase_gene,S01,S02,S03,S04,S05,S06,S07,S08
WBGene00003185,1067,1827,1464,1813,1232,1421,1637,1547
WBGene00003186,988,1364,1104,1464,901,1186,1317,1248
WBGene00003196,2278,3497,2708,3808,2159,2769,3311,3196
WBGene00003209,1952,2901,2377,3192,2105,2482,3727,2700
WBGene00003210,3416,5222,3693,5477,3180,4405,4914,4659
WBGene00003214,9183,15968,13067,16517,10565,13280,13993,13213
WBGene00003218,3181,5445,4434,5638,3569,4370,4672,4372
WBGene00003219,426,694,402,685,356,472,684,561
WBGene00003220,967,1528,1248,1662,974,1262,1292,1373
WBGene00003221,912,1358,871,1324,764,991,1569,1184
WBGene00003222,1453,2357,1776,2340,1363,1952,2038,1905
WBGene00003224,893,1441,848,1489,719,1056,1378,1310
WBGene00003225,1345,2362,1784,2258,1488,1839,2069,1998
WBGene00003228,4656,7792,6913,8197,5316,6498,6358,6475
WBGene00003229,5673,9536,8524,9405,6673,7887,8794,7710
WBGene00003230,10842,19387,17021,19595,12872,15168,16689,14785
WBGene00003231,6882,12043,10307,12292,7861,9560,10380,9533
WBGene00003232,11,14,9,13,8,11,20,13
WBGene00003233,70,70,49,80,40,36,100,68
WBGene00003234,235,435,364,398,261,380,415,327
WBGene00003235,334,614,486,592,370,451,544,478
WBGene00003236,240,438,239,409,227,330,403,356
WBGene00003237,1,1,0,4,0,2,8,1
WBGene00003238,117,203,163,223,134,163,178,151
WBGene00003239,229,323,274,380,224,287,382,249
WBGene00003241,1719,2699,1904,2850,1646,2045,2379,2323
WBGene00003242,2727,5013,4477,4844,4062,4749,4783,4779
WBGene00003243,180,298,220,291,196,269,398,271
WBGene00003245,42,79,59,92,47,79,76,82
WBGene00003246,727,1266,802,1206,825,982,1074,1155
WBGene00003247,415,690,551,704,479,671,680,609
WBGene00003248,36,54,38,44,35,42,65,43
WBGene00003249,38,50,39,47,21,29,58,44
WBGene00003252,7,14,11,15,10,8,12,13
WBGene00003253,2043,3063,2001,3072,1715,2290,2848,2671
WBGene00003254,203,316,183,293,180,274,340,278
WBGene00003258,925,1312,885,1347,808,1043,1209,1238
WBGene00003260,0,0,0,0,0,0,0,0
WBGene00003261,0,0,0,0,0,0,0,0
WBGene00003262,0,0,0,0,0,0,0,0
WBGene00003263,0,0,0,0,0,0,0,0
WBGene00003264,0,0,0,0,0,0,0,0
WBGene00003265,0,0,0,0,0,0,0,0
WBGene00003266,0,0,0,0,0,0,0,0
WBGene00003267,0,0,0,0,0,0,0,0
WBGene00003268,0,0,0,0,0,0,0,1
WBGene00003269,0,0,0,0,0,1,0,0
WBGene00003270,0,0,0,0,1,0,0,0
WBGene00003271,0,0,0,0,0,0,0,0
WBGene00003272,0,0,0,0,0,0,0,0
WBGene00003273,0,1,1,0,0,1,1,0
WBGene00003274,0,0,0,0,0,0,0,0
WBGene00003275,0,0,0,0,0,0,0,0
WBGene00003277,0,0,0,0,0,0,0,0
WBGene00003278,0,0,0,0,0,0,0,0
WBGene00003279,0,0,0,0,0,0,0,0
WBGene00003280,0,0,0,0,0,0,0,0
WBGene00003281,0,0,0,0,0,0,0,0
WBGene00003282,0,0,0,0,0,0,0,0
WBGene00003283,0,0,0,0,0,0,0,0
WBGene00003284,0,0,0,0,0,0,0,0
WBGene00003285,0,0,0,0,0,0,0,0
WBGene00003286,0,0,0,0,0,0,0,0
WBGene00003287,0,0,0,0,0,0,0,0
WBGene00003288,0,0,0,0,0,0,0,0
WBGene00003289,0,0,0,0,0,0,0,0
WBGene00003290,0,0,0,0,0,0,1,0
WBGene00003291,0,0,0,0,0,0,0,0
WBGene00003292,0,0,0,0,0,0,0,0
WBGene00003293,0,0,0,0,0,0,0,0
WBGene00003294,0,0,0,1,0,0,0,0
WBGene00003295,0,0,0,0,0,0,0,0
WBGene00003296,0,0,0,0,0,0,0,0
WBGene00003297,0,0,0,0,0,0,0,0
WBGene00003298,0,0,0,0,0,0,0,0
WBGene00003299,0,0,0,0,0,0,0,0
WBGene00003300,0,0,0,0,0,0,0,0
WBGene00003301,0,0,0,0,0,0,0,0
WBGene00003302,0,0,0,0,0,0,0,0
WBGene00003303,0,0,0,0,0,0,0,0
WBGene00003304,0,0,0,0,0,0,0,0
WBGene00003305,0,0,0,0,0,0,0,0
WBGene00003306,0,0,0,0,0,0,0,0
WBGene00003307,0,0,0,0,0,0,0,0
WBGene00003308,0,0,0,1,0,0,0,0
WBGene00003309,0,0,0,0,0,0,0,1
WBGene00003310,0,0,0,0,0,0,0,0
WBGene00003311,0,0,0,0,0,0,0,0
WBGene00003312,0,0,0,0,0,0,0,0
WBGene00003313,0,0,0,0,0,0,0,0
WBGene00003314,0,1,0,0,0,0,1,0
WBGene00003315,0,0,0,0,0,0,0,0
WBGene00003316,0,0,0,0,0,0,0,0
WBGene00003317,0,0,0,0,0,0,0,0
WBGene00003318,0,1,0,0,0,0,0,0
WBGene00003319,0,0,0,0,0,0,0,0
WBGene00003321,0,0,0,0,0,0,0,0
WBGene00003322,0,0,0,0,0,0,0,0
WBGene00003323,0,0,0,0,0,0,0,0
WBGene00003324,0,0,0,0,1,0,0,0
WBGene00003325,0,0,0,0,0,0,0,0
WBGene00003326,0,0,0,0,0,0,0,0
WBGene00003327,0,0,0,0,0,0,0,0
WBGene00003328,0,0,0,0,0,0,0,1
WBGene00003329,0,0,0,0,0,0,0,0
WBGene00003330,0,0,0,0,0,0,0,0
WBGene00003331,0,0,0,2,0,0,0,0
WBGene00003332,0,0,0,0,0,0,0,1
WBGene00003333,1,0,0,0,0,0,0,0
WBGene00003334,0,0,0,0,0,0,0,0
WBGene00003335,0,0,0,0,0,0,0,0
WBGene00003336,0,0,0,0,0,0,0,0
WBGene00003337,0,0,0,0,0,0,0,0
WBGene00003338,0,0,0,0,0,0,0,0
WBGene00003339,0,0,0,0,0,0,0,0
WBGene00003340,0,0,0,0,0,0,0,0
WBGene00003341,0,0,0,0,0,0,0,0
WBGene00003342,0,0,0,0,0,0,0,0
WBGene00003343,0,0,0,0,0,0,0,0
WBGene00003344,0,0,0,0,0,0,0,0
WBGene00003345,0,0,0,0,0,0,0,0
WBGene00003346,0,0,0,0,0,0,0,0
WBGene00003347,0,0,0,0,0,0,0,0
WBGene00003348,0,0,0,0,0,0,0,0
WBGene00003349,0,0,0,0,0,0,0,0
WBGene00003350,0,0,0,0,0,0,0,0
WBGene00003351,0,0,0,0,0,0,0,0
WBGene00003353,1,0,0,0,0,0,0,0
WBGene00003354,9,6,9,11,7,7,10,12
WBGene00003355,0,0,0,0,0,0,0,0
WBGene00003356,0,1,0,1,1,2,3,0
WBGene00003357,0,0,0,0,0,0,0,0
WBGene00003358,0,0,0,0,0,0,0,0
WBGene00003359,0,0,0,0,0,0,1,0
WBGene00003360,0,0,0,0,0,0,0,0
WBGene00003361,0,0,0,0,0,0,0,0
WBGene00003362,0,0,0,0,0,0,0,0
WBGene00003363,0,1,0,1,1,0,0,0
WBGene00003364,0,0,0,0,0,0,0,0
WBGene00003365,0,0,0,0,0,0,0,0
WBGene00003366,0,0,0,0,0,0,0,0
WBGene00003367,2512,3844,2654,3958,2236,3051,3720,3196
WBGene00003368,105,150,101,126,93,147,155,159
WBGene00003369,4446,8614,8174,8293,6460,7257,8234,7084
WBGene00003370,6638,13149,13003,12065,9948,10857,10760,9646
WBGene00003371,3805,7764,7202,7192,5765,6425,6717,6050
WBGene00003372,2275,4001,3515,4075,2895,3366,3493,3318
WBGene00003373,887,1438,1165,1450,911,1184,1185,1179
WBGene00003374,156,302,277,302,195,257,286,289
WBGene00003375,370,751,636,669,528,581,646,629
WBGene00003376,1,1,2,5,2,4,6,5
WBGene00003377,11,11,7,18,15,7,19,7
WBGene00003378,519,839,560,932,487,668,860,844
WBGene00003380,12,18,11,26,8,15,23,30
WBGene00003384,195,316,289,342,216,282,269,240
WBGene00003385,63,110,96,94,68,87,81,88
WBGene00003386,19,16,20,16,20,12,31,8
WBGene00003387,20,37,28,26,17,23,28,33
WBGene00003388,66,108,92,149,85,95,111,79
WBGene00003389,2638,4044,3127,4247,2381,3311,3718,3537
WBGene00003390,1050,1690,1405,1755,1124,1429,1599,1471
WBGene00003391,1405,2383,2170,2452,1640,2054,1850,1797
WBGene00003392,1209,2250,2011,2559,1580,1907,1978,2005
WBGene00003393,2104,3109,2193,3317,1819,2451,3225,2975
WBGene00003394,79,78,35,78,32,54,145,103
WBGene00003395,1218,2085,1332,1944,1147,1597,1867,1691
WBGene00003396,655,977,865,1012,696,842,1182,918
WBGene00003397,2202,2814,1493,2820,1535,1839,3750,2690
WBGene00003400,383,637,552,621,463,525,600,639
WBGene00003401,2180,3260,3151,3540,2254,2784,3643,3131
WBGene00003402,59,82,67,97,53,90,97,83
WBGene00003403,4,6,1,1,5,3,4,4
WBGene00003404,188,289,357,306,257,272,326,285
WBGene00003405,1677,2444,1683,2497,1364,1896,2524,2071
WBGene00003406,2510,4136,3405,4244,2742,3459,3658,3339
WBGene00003407,577,946,660,927,594,823,1050,975
WBGene00003408,158,244,185,251,152,249,284,296
WBGene00003409,177,295,200,268,185,217,291,291
WBGene00003410,4599,7505,5568,7595,4745,6013,6675,6592
WBGene00003411,1345,2125,1692,2206,1509,1818,2287,2018
WBGene00003412,123,181,118,215,104,155,202,182
WBGene00003413,2199,3403,2486,3443,2049,2533,3068,2948
WBGene00003414,127,217,168,225,113,166,234,223
WBGene00003415,3996,6649,5159,6864,4274,5222,5404,5087
WBGene00003417,299,459,279,422,271,354,406,375
WBGene00003418,1956,2921,2071,2943,1644,2250,2735,2569
WBGene00003420,21,32,14,45,19,14,48,22
WBGene00003421,745,1030,684,1081,553,846,1055,921
WBGene00003422,2864,4424,3001,4218,2620,3549,4008,3684
WBGene00003423,536,926,836,927,658,784,906,869
WBGene00003424,31,83,54,52,122,99,116,97
WBGene00003425,28,100,70,64,156,89,186,147
WBGene00003426,81,169,135,133,289,223,299,270
WBGene00003429,75,189,180,145,315,227,400,324
WBGene00003430,0,3,2,2,6,3,11,8
WBGene00003431,54,108,108,74,169,132,209,181
WBGene00003432,52,164,122,98,234,166,229,195
WBGene00003433,0,0,1,0,0,0,1,0
WBGene00003434,23,47,30,29,88,66,77,68
WBGene00003435,47,123,114,99,208,142,273,253
WBGene00003437,0,0,1,1,1,1,2,0
WBGene00003438,45,122,95,79,204,163,185,188
WBGene00003442,56,78,80,62,131,106,137,112
WBGene00003443,46,119,105,82,166,141,183,177
WBGene00003444,37,127,98,102,203,145,187,187
WBGene00003445,31,119,37,83,110,142,206,152
WBGene00003446,13,39,32,24,74,48,113,89
WBGene00003448,37,61,83,79,149,145,159,155
WBGene00003449,22,41,51,42,105,59,91,65
WBGene00003450,124,296,158,155,399,344,459,438
WBGene00003451,50,139,92,78,189,172,217,186
WBGene00003452,84,208,192,170,366,268,383,328
WBGene00003456,1,3,3,5,1,5,5,3
WBGene00003457,34,73,57,51,103,80,121,118
WBGene00003458,17,32,54,14,94,67,113,63
WBGene00003460,9,10,4,6,8,3,2,7
WBGene00003462,3,5,2,4,0,3,5,0
WBGene00003463,52,130,143,91,222,183,259,201
WBGene00003464,52,148,103,140,187,191,203,203
WBGene00003465,44,135,138,142,212,214,260,270
WBGene00003466,31,97,73,21,164,128,189,109
WBGene00003467,53,131,112,76,222,168,195,202
WBGene00003468,49,70,112,58,173,105,152,170
WBGene00003469,20,52,59,31,112,74,124,101
WBGene00003470,62,104,110,66,196,148,165,166
WBGene00003471,13,24,21,20,18,15,17,19
WBGene00003472,973,1338,742,1363,735,1018,1639,1359
WBGene00003473,2,6,8,8,4,2,8,5
WBGene00003474,940,1694,1330,1700,1233,1516,1896,1597
WBGene00003475,433,584,320,564,308,391,640,579
WBGene00003476,4361,6651,4353,7047,3733,5111,6828,5938
WBGene00003477,334,475,287,524,287,377,574,482
WBGene00003478,1112,1896,1483,1958,1296,1584,1579,1571
WBGene00003479,691,1050,847,1115,732,998,913,981
WBGene00003480,29,62,43,47,21,40,80,51
WBGene00003482,681,1131,713,1012,694,994,1093,1077
WBGene00003485,1035,1847,1641,1735,1315,1681,1867,1736
WBGene00003495,2330,4599,3915,4156,3738,4127,4115,3854
WBGene00003497,1931,3221,2230,3085,2221,2864,3160,2964
WBGene00003499,906,1239,778,1258,671,899,1468,1244
WBGene00003504,1506,2300,1507,2430,1249,1769,2247,2025
WBGene00003507,662,938,649,1038,547,801,873,891
WBGene00003508,1801,2939,2058,2869,1715,2247,2788,2665
WBGene00003509,583,949,857,1046,641,882,935,780
WBGene00003510,498,843,780,886,559,737,680,677
WBGene00003511,609,1303,812,1430,592,787,1547,1290
WBGene00003514,1003,2061,1835,1998,1622,1807,1881,1875
WBGene00003515,1032,1833,1443,1764,1443,1859,1843,1811
WBGene00003516,81,207,165,156,125,161,149,110
WBGene00003517,160,228,190,211,160,180,242,217
WBGene00003518,43,82,43,65,52,61,94,77
WBGene00003519,262,359,229,342,225,243,406,355
WBGene00003520,0,4,0,0,1,3,3,0
WBGene00003521,0,0,0,0,0,0,0,0
WBGene00003522,21,49,25,26,8,17,58,63
WBGene00003523,7,7,2,7,1,6,17,9
WBGene00003524,10,13,10,16,8,10,14,12
WBGene00003525,2,2,0,0,0,0,3,2
WBGene00003526,17,34,23,36,17,20,49,30
WBGene00003527,10,9,5,5,8,4,9,6
WBGene00003528,120,238,204,267,180,164,211,204
WBGene00003529,0,0,0,0,1,2,0,2
WBGene00003530,550,820,576,900,530,737,890,815
WBGene00003531,3,4,1,1,0,1,7,1
WBGene00003532,1,3,1,0,2,0,5,4
WBGene00003533,10,9,10,17,10,12,17,14
WBGene00003534,2,4,6,6,2,1,5,2
WBGene00003535,0,0,0,0,0,0,0,0
WBGene00003536,0,0,0,0,0,0,0,3
WBGene00003537,1,1,3,0,1,5,2,3
WBGene00003538,0,0,0,0,0,0,0,0
WBGene00003539,215,286,132,276,129,178,387,278
WBGene00003540,3,4,6,2,0,4,6,1
WBGene00003541,3,7,5,8,1,5,14,9
WBGene00003542,0,3,1,1,0,0,1,5
WBGene00003543,0,0,0,0,0,0,0,3
WBGene00003544,1,2,2,4,1,3,9,5
WBGene00003545,0,3,0,3,0,2,0,1
WBGene00003546,5,12,3,4,5,7,10,12
WBGene00003547,2,2,3,5,0,1,4,3
WBGene00003548,5,11,7,3,7,6,6,6
WBGene00003549,24,47,34,31,22,28,44,35
WBGene00003550,21,23,32,33,42,22,47,43
WBGene00003551,13,19,18,18,5,26,36,23
WBGene00003552,7,14,9,7,11,9,16,6
WBGene00003553,291,437,335,488,306,416,489,447
WBGene00003554,7,12,5,11,9,11,9,5
WBGene00003555,75,124,103,145,82,90,119,127
WBGene00003556,0,0,0,0,0,0,0,0
WBGene00003558,24,37,18,26,16,12,48,35
WBGene00003559,989,1866,1422,1941,1205,1643,1698,1640
WBGene00003561,120,205,145,239,159,157,221,208
WBGene00003562,17,20,17,29,12,15,23,25
WBGene00003563,6,7,3,5,9,7,12,4
WBGene00003564,963,1745,1322,1550,1085,1349,1780,1434
WBGene00003565,28,36,20,31,18,33,39,33
WBGene00003566,470,775,616,850,572,703,808,745
WBGene00003567,587,1095,903,1048,795,904,1075,950
WBGene00003568,124,176,124,209,95,141,209,169
WBGene00003569,28,35,15,22,17,23,33,21
WBGene00003570,2,3,1,3,2,2,1,4
WBGene00003571,19,31,16,13,10,15,47,37
WBGene00003572,125,200,124,189,120,178,281,240
WBGene00003573,17,23,21,27,24,22,43,46
WBGene00003574,2,11,2,5,4,8,10,13
WBGene00003575,7,4,9,6,1,8,17,7
WBGene00003576,1748,2757,1956,2862,1579,2254,2564,2338
WBGene00003577,482,689,393,697,434,545,842,686
WBGene00003578,36,54,45,45,42,67,44,69
WBGene00003579,36,52,71,62,45,63,47,51
WBGene00003580,126,200,164,216,116,179,184,178
WBGene00003581,228,314,247,354,192,253,308,300
WBGene00003582,803,1272,891,1272,795,1010,1262,1154
WBGene00003583,149,254,161,245,132,168,258,195
WBGene00003584,395,567,354,599,335,438,544,487
WBGene00003585,18,69,37,56,30,47,41,43
WBGene00003586,698,1127,828,1146,693,827,922,865
WBGene00003587,1079,1693,1376,1759,1128,1457,1652,1512
WBGene00003588,1869,3353,2927,3253,2487,2927,2957,2909
WBGene00003589,413,722,661,775,680,702,718,761
WBGene00003590,150,242,133,250,111,235,309,287
WBGene00003591,17,23,8,17,15,17,17,23
WBGene00003592,1112,1612,1034,1615,930,1198,1714,1459
WBGene00003593,169,266,184,274,177,235,300,243
WBGene00003594,545,785,609,837,507,675,660,685
WBGene00003595,5,10,8,18,9,12,11,22
WBGene00003596,1553,2597,1983,2582,1656,2190,2435,2297
WBGene00003597,109,192,127,188,101,162,209,195
WBGene00003598,2937,4680,3205,4806,2592,3435,4194,3848
WBGene00003599,187,318,267,339,205,279,263,293
WBGene00003600,274,553,404,498,317,397,514,474
WBGene00003601,256,341,229,295,228,263,454,296
WBGene00003602,72,161,90,141,84,119,174,160
WBGene00003603,116,197,125,162,110,147,208,161
WBGene00003604,89,150,119,179,102,106,136,128
WBGene00003605,29,65,63,56,34,36,47,56
WBGene00003606,33,35,22,50,17,27,71,57
WBGene00003607,96,146,77,149,84,99,248,157
WBGene00003608,0,0,0,0,0,0,0,0
WBGene00003609,228,370,201,364,216,278,406,345
WBGene00003610,37,41,14,62,35,58,57,58
WBGene00003611,130,164,92,168,106,157,219,173
WBGene00003612,163,307,211,320,188,253,283,271
WBGene00003613,164,298,201,237,136,210,260,243
WBGene00003614,12,25,11,28,10,16,19,22
WBGene00003615,10,20,21,18,11,18,18,15
WBGene00003616,150,198,195,273,181,202,254,214
WBGene00003617,31,53,34,53,37,35,48,33
WBGene00003618,71,156,109,100,63,86,123,96
WBGene00003619,227,322,241,320,201,269,351,317
WBGene00003620,74,96,62,127,70,59,149,111
WBGene00003621,177,221,166,270,165,221,299,209
WBGene00003622,792,1281,782,1357,669,963,1181,1092
WBGene00003623,25,38,17,44,41,32,62,40
WBGene00003624,88,163,108,161,103,136,149,149
WBGene00003625,246,359,233,328,173,234,506,437
WBGene00003626,76,123,125,157,111,129,133,139
WBGene00003627,213,334,245,356,219,254,381,305
WBGene00003628,113,181,146,181,108,153,224,184
WBGene00003629,0,0,0,0,0,0,1,2
WBGene00003630,185,256,184,272,149,202,283,205
WBGene00003632,63,101,64,98,63,69,95,89
WBGene00003633,62,53,26,82,24,37,65,67
WBGene00003634,8,29,14,25,9,21,26,18
WBGene00003635,111,193,158,218,135,163,212,203
WBGene00003636,485,796,565,906,519,668,824,718
WBGene00003637,154,220,142,260,126,176,239,231
WBGene00003638,303,493,398,517,319,379,449,428
WBGene00003639,1277,1868,1419,1943,1260,1356,2166,1745
WBGene00003640,11,29,17,36,11,32,20,20
WBGene00003641,0,3,0,0,1,0,1,1
WBGene00003642,0,0,0,1,0,0,0,0
WBGene00003643,26,62,30,61,36,39,59,63
WBGene00003644,5,7,6,6,4,8,6,9
WBGene00003645,34,75,59,52,58,58,82,62
WBGene00003646,28,45,58,67,41,37,31,44
WBGene00003647,24,47,34,44,34,44,44,52
WBGene00003648,14,29,20,32,21,15,27,17
WBGene00003649,10,13,9,22,12,20,23,22
WBGene00003650,3,10,2,10,7,8,9,5
WBGene00003651,147,187,196,224,136,164,169,169
WBGene00003652,30,41,37,53,14,30,73,63
WBGene00003653,7,8,6,9,13,13,16,16
WBGene00003654,55,141,96,135,97,111,144,123
WBGene00003655,58,113,65,108,48,78,91,75
WBGene00003656,1425,2150,1633,2156,1358,1620,2063,1824
WBGene00003657,8,17,1,8,3,13,10,12
WBGene00003658,353,399,247,338,268,299,704,425
WBGene00003659,123,167,71,157,75,99,218,165
WBGene00003660,104,233,166,214,156,197,194,199
WBGene00003661,362,673,573,729,502,569,601,601
WBGene00003662,2,3,0,2,0,0,2,3
WBGene00003663,6,4,5,0,0,0,17,0
WBGene00003664,69,81,87,70,45,66,82,108
WBGene00003665,1,0,0,0,1,0,2,1
WBGene00003667,0,0,0,0,0,0,0,0
WBGene00003668,70,88,54,100,71,74,112,92
WBGene00003669,60,88,101,95,62,97,95,93
WBGene00003670,116,187,163,224,159,162,168,143
WBGene00003671,0,8,1,7,2,5,5,2
WBGene00003672,0,0,0,0,0,0,0,0
WBGene00003673,7,15,5,19,11,11,9,9
WBGene00003674,99,144,78,141,100,121,130,146
WBGene00003675,35,49,43,59,32,38,53,39
WBGene00003676,330,547,474,586,369,460,543,489
WBGene00003677,27,53,34,47,30,47,51,42
WBGene00003678,464,673,571,849,542,581,587,566
WBGene00003679,0,0,0,0,0,0,0,0
WBGene00003680,63,55,44,82,48,50,82,72
WBGene00003681,23,46,39,40,36,35,40,40
WBGene00003682,37,38,26,50,23,43,50,44
WBGene00003683,3,13,6,6,1,2,5,7
WBGene00003684,14,11,7,15,11,11,36,23
WBGene00003685,62,104,72,105,80,101,158,131
WBGene00003686,24,38,37,45,36,36,43,51
WBGene00003687,572,905,676,954,578,763,1164,963
WBGene00003688,15,17,13,20,13,23,35,26
WBGene00003689,12,19,17,20,9,23,21,15
WBGene00003690,123,206,96,172,108,162,264,201
WBGene00003691,95,116,50,81,63,71,194,133
WBGene00003692,28,50,29,61,36,50,67,70
WBGene00003693,20,36,25,36,28,22,34,39
WBGene00003694,33,78,33,66,37,43,89,84
WBGene00003695,252,319,184,386,211,261,306,295
WBGene00003696,24,28,22,29,32,34,46,31
WBGene00003697,25,30,31,35,17,31,63,55
WBGene00003698,6,6,4,13,4,8,8,7
WBGene00003699,43,56,45,60,37,47,60,57
WBGene00003700,37,36,23,51,20,36,53,37
WBGene00003701,0,0,0,0,0,0,0,0
WBGene00003702,13,16,15,19,12,19,28,16
WBGene00003703,0,2,0,2,0,0,0,3
WBGene00003704,1410,2591,1910,2407,1282,1891,2717,2433
WBGene00003705,16,27,19,15,7,8,35,23
WBGene00003706,14,30,12,20,18,21,30,14
WBGene00003707,35,35,26,65,33,35,46,55
WBGene00003708,0,0,0,0,0,0,0,0
WBGene00003709,136,231,217,257,203,214,227,231
WBGene00003710,41,67,51,85,37,53,75,57
WBGene00003711,78,118,110,106,99,104,109,99
WBGene00003712,85,145,136,138,86,106,115,121
WBGene00003713,7,10,2,11,10,14,12,7
WBGene00003714,3,3,2,4,3,3,1,2
WBGene00003715,3,6,10,11,7,5,13,10
WBGene00003716,33,25,19,44,19,28,48,36
WBGene00003717,0,0,0,0,0,0,0,0
WBGene00003718,23,30,18,38,18,25,28,29
WBGene00003719,8,12,9,16,9,14,19,17
WBGene00003720,65,88,82,93,65,92,81,79
WBGene00003721,41,57,42,92,61,71,71,60
WBGene00003722,17,55,39,62,23,29,42,28
WBGene00003723,42,75,51,100,48,70,67,71
WBGene00003724,49,78,55,96,55,71,63,64
WBGene00003725,41,62,42,71,35,58,84,73
WBGene00003726,12,17,22,28,24,17,48,22
WBGene00003727,76,136,75,151,82,103,140,135
WBGene00003728,190,229,162,240,131,211,281,230
WBGene00003729,18,38,24,24,27,31,44,52
WBGene00003730,363,491,345,514,290,341,766,533
WBGene00003731,90,126,98,155,87,117,178,133
WBGene00003732,90,150,129,169,93,120,178,138
WBGene00003733,125,235,169,227,159,234,277,234
WBGene00003734,0,2,0,1,0,0,0,0
WBGene00003735,176,275,175,285,192,258,343,280
WBGene00003736,51,94,59,77,46,69,128,99
WBGene00003738,941,1439,1155,1525,1091,1328,1558,1318
WBGene00003739,33,64,52,54,51,61,51,49
WBGene00003740,4,5,11,14,4,7,9,9
WBGene00003741,70,87,29,87,35,50,79,81
WBGene00003742,8,4,4,4,4,4,7,12
WBGene00003743,8,10,14,13,6,11,10,8
WBGene00003744,77,165,150,186,118,125,151,139
WBGene00003745,50,67,39,69,38,80,60,64
WBGene00003746,59,101,46,100,60,58,109,90
WBGene00003747,63,122,111,121,87,91,113,114
WBGene00003748,50,110,74,105,59,85,84,77
WBGene00003749,60,107,72,105,58,84,79,88
WBGene00003750,39,66,65,69,54,39,57,48
WBGene00003751,73,141,138,164,108,116,127,140
WBGene00003752,87,118,145,144,112,129,119,125
WBGene00003753,54,92,60,96,49,53,83,72
WBGene00003754,100,175,166,159,147,172,183,132
WBGene00003755,25,33,18,38,15,29,44,40
WBGene00003756,60,86,81,93,61,92,96,84
WBGene00003757,3,7,3,10,4,5,10,3
WBGene00003758,104,135,109,146,86,118,167,176
WBGene00003759,96,185,119,185,95,147,162,162
WBGene00003760,0,0,0,0,0,1,0,0
WBGene00003761,0,2,1,1,1,1,3,0
WBGene00003762,720,1235,1000,1224,848,1067,1401,1144
WBGene00003763,11,12,6,18,13,24,22,15
WBGene00003764,104,181,193,198,139,187,185,167
WBGene00003765,529,932,907,842,722,809,976,873
WBGene00003766,355,578,533,661,608,699,688,679
WBGene00003767,258,395,390,530,428,479,518,436
WBGene00003768,64,70,95,111,84,117,94,87
WBGene00003769,230,380,337,456,364,408,387,361
WBGene00003770,0,0,0,0,0,0,0,0
WBGene00003771,326,540,505,681,454,535,788,571
WBGene00003772,85,104,68,82,61,85,116,103
WBGene00003773,424,721,562,755,502,623,645,586
WBGene00003774,4,4,3,6,3,4,4,6
WBGene00003775,9,17,2,10,7,12,11,7
WBGene00003776,2567,4407,3302,4310,3106,3936,4468,4052
WBGene00003777,10866,16411,13455,17937,10842,13920,15518,14565
WBGene00003778,20,24,21,34,14,22,20,21
WBGene00003779,25,54,39,46,45,48,53,49
WBGene00003783,373,690,534,665,407,541,453,483
WBGene00003784,1467,2346,1826,2555,1467,1922,2249,1987
WBGene00003785,2947,4731,4079,4894,3241,3953,4176,4039
WBGene00003786,3143,4917,4622,5687,3928,4985,4694,4322
WBGene00003787,1431,2361,1569,2528,1423,1903,2488,2043
WBGene00003788,2139,3129,2394,3362,2049,2454,3024,2830
WBGene00003789,3177,5107,3580,5493,3196,4166,4790,4619
WBGene00003790,1128,1811,1419,1925,1090,1472,1557,1571
WBGene00003791,1844,2826,1874,3094,1669,2302,2587,2563
WBGene00003792,2307,3398,2206,3342,1963,2711,3433,3136
WBGene00003793,5921,9914,7484,10164,6257,7690,8618,8529
WBGene00003794,2584,4317,3293,4562,2797,3613,3780,3936
WBGene00003795,9517,17372,14446,16999,11256,13454,13648,13282
WBGene00003796,5475,9141,7729,9346,6444,7778,7812,7860
WBGene00003797,2096,3411,2822,3644,2276,2970,3054,3013
WBGene00003798,4491,6409,3912,6475,3752,4956,6574,6113
WBGene00003799,1771,2756,2150,2886,1849,2303,2586,2410
WBGene00003800,4269,6206,3990,6376,3475,4822,6099,5673
WBGene00003801,1953,2839,1678,2910,1556,2206,2747,2640
WBGene00003802,1442,2497,2170,2558,1771,2080,2090,1896
WBGene00003803,1480,2438,1688,2388,1409,1819,2139,1886
WBGene00003804,1354,2218,1791,2250,1462,1826,1824,1837
WBGene00003805,1524,2593,1845,2805,1529,2073,2310,2231
WBGene00003806,1047,1544,1272,1642,1085,1343,1393,1362
WBGene00003807,1,3,0,1,2,3,1,2
WBGene00003808,8,11,7,16,7,11,23,19
WBGene00003812,535,908,624,876,566,707,993,855
WBGene00003813,594,764,513,786,523,552,1396,819
WBGene00003815,3187,5288,4605,5853,3558,4391,4671,4581
WBGene00003816,12,41,15,30,23,48,38,35
WBGene00003818,1322,2076,1492,2127,1277,1706,1940,1815
WBGene00003821,2924,4767,3478,4768,2778,3733,4271,4069
WBGene00003822,522,780,562,859,539,752,926,800
WBGene00003825,1351,2252,2094,2429,1671,1861,2086,1984
WBGene00003826,2563,4306,3898,4337,2851,3468,3733,3569
WBGene00003827,2519,4533,3194,4704,2605,3417,4226,3660
WBGene00003828,774,1387,1069,1295,841,1114,1390,1188
WBGene00003829,1895,3068,2457,3150,2054,2486,2533,2470
WBGene00003830,1590,2704,2182,2735,1840,2259,2276,2158
WBGene00003831,4451,7651,6715,7684,5261,6298,6296,6251
