wormbase_gene,Nr35.counts,Nr36.counts,Nr37.counts,Nr38.counts
WBGene00019139,223,196,223,270
WBGene00021726,369,278,262,331
WBGene00018223,10,13,21,24
WBGene00015590,733,594,640,728
WBGene00019132,309,289,306,325
WBGene00018668,442,428,349,441
WBGene00015012,23,14,28,27
WBGene00019138,61,53,77,66
WBGene00021727,7,6,8,4
WBGene00015014,121,111,117,151
WBGene00020859,5,3,3,6
WBGene00020329,66,54,51,52
WBGene00017450,155,154,152,180
WBGene00017461,1325,1328,1286,1508
WBGene00017452,887,849,741,933
WBGene00019140,100,78,92,96
WBGene00017460,704,644,597,719
WBGene00017405,133,112,95,123
WBGene00015595,28,24,15,25
WBGene00012195,106,119,112,138
WBGene00012196,59,51,41,71
WBGene00013569,3544,3456,3855,4018
WBGene00010669,3,5,4,4
WBGene00009945,940,806,810,816
WBGene00009137,173,153,135,191
WBGene00018665,177,161,143,182
WBGene00013689,5051,5122,5101,5628
WBGene00018137,4816,4679,4543,4827
WBGene00016803,8113,7591,7060,8142
WBGene00011815,6377,5793,5220,6004
WBGene00015567,4397,4233,4357,4646
WBGene00009247,13,6,14,14
WBGene00020325,13,1,7,7
WBGene00006464,56,34,47,64
WBGene00019141,619,567,520,643
WBGene00018667,103,69,88,115
WBGene00021725,640,520,469,564
WBGene00000241,80,63,73,63
WBGene00000242,153,102,123,134
WBGene00010974,116,107,99,82
WBGene00000244,66,62,47,57
WBGene00016744,139,104,99,122
WBGene00000245,703,617,674,777
WBGene00001149,6523,6030,6098,6634
WBGene00000246,172,138,138,130
WBGene00012914,25,27,30,27
WBGene00018755,463,342,379,446
WBGene00010042,4152,3774,3383,3962
WBGene00015266,962,1002,1119,1055
WBGene00015268,338,306,352,340
WBGene00007209,3,2,1,0
WBGene00007211,132,149,135,161
WBGene00007212,18,20,23,13
WBGene00044127,2,1,4,1
WBGene00000247,1197,1103,1051,1207
WBGene00012674,1495,1561,1711,1631
WBGene00012943,2196,2291,2193,2431
WBGene00000248,1979,1778,2016,1967
WBGene00016611,2281,1881,1572,1876
WBGene00000249,1250,1408,1261,1642
WBGene00000250,1447,1357,1392,1700
WBGene00000251,21,22,23,22
WBGene00000252,2,5,12,4
WBGene00000253,1140,936,914,1041
WBGene00000254,49216,45028,43052,48316
WBGene00000255,15,10,3,8
WBGene00003847,1355,1187,1227,1274
WBGene00000257,6146,5697,5113,5918
WBGene00017293,1146,1118,850,1154
WBGene00000259,3632,3123,2907,3753
WBGene00000262,416,402,340,409
WBGene00017757,2591,2378,1978,2341
WBGene00000264,1474,1353,1243,1406
WBGene00020316,1063,1081,1010,1102
WBGene00000265,2185,2040,1900,2271
WBGene00000266,5941,4730,5040,4993
WBGene00000267,133,114,137,139
WBGene00000268,2642,2461,2284,2656
WBGene00000269,520,511,557,556
WBGene00000271,3802,3493,2919,3762
WBGene00000272,89,88,76,94
WBGene00000273,38698,37172,32369,38550
WBGene00001963,43,30,36,44
WBGene00019313,339,288,305,344
WBGene00019700,328,296,313,349
WBGene00022555,38,39,42,45
WBGene00022561,35,33,37,32
WBGene00013275,430,420,394,435
WBGene00015594,0,1,2,2
WBGene00018195,112,71,67,91
WBGene00018200,71,51,44,64
WBGene00018201,4,4,6,7
WBGene00010194,732,696,636,735
WBGene00020802,0,5,0,2
WBGene00010193,252,219,205,253
WBGene00018540,4,4,6,2
WBGene00015013,33,23,21,35
WBGene00019142,114,107,93,128
WBGene00021042,3,2,2,2
WBGene00018438,673,639,666,803
WBGene00018443,137,111,141,158
WBGene00018437,319,319,284,349
WBGene00018435,94,96,96,95
WBGene00000274,3879,3692,3754,4072
WBGene00000275,11314,10693,9776,11137
WBGene00013209,4674,4617,4146,4461
WBGene00044630,216,193,165,188
WBGene00011590,623,374,497,390
WBGene00044623,1158,878,1051,910
WBGene00000276,3741,3230,2997,3665
WBGene00007213,69,70,84,58
WBGene00007214,269,252,280,291
WBGene00007216,1014,940,794,984
WBGene00007218,3,0,2,3
WBGene00077546,1,0,1,2
WBGene00015284,386,317,272,330
WBGene00044294,1758,1497,1536,1643
WBGene00015278,604,501,478,488
WBGene00015279,118,119,101,108
WBGene00015280,7968,7120,8141,8953
WBGene00015281,1,1,2,1
WBGene00015282,2716,2539,2369,2785
WBGene00015283,2946,2685,2281,2642
WBGene00015291,688,686,566,739
WBGene00015270,0,0,0,0
WBGene00015271,0,0,0,0
WBGene00015272,0,0,0,0
WBGene00015277,0,0,0,0
WBGene00007220,166,149,119,111
WBGene00015294,449,429,377,436
WBGene00015292,4,5,2,3
WBGene00015293,339,268,288,278
WBGene00015298,2257,2035,1899,2163
WBGene00015299,23,17,12,16
WBGene00015300,99,75,72,68
WBGene00015301,2406,2372,2065,2653
WBGene00007222,41,21,37,35
WBGene00007223,1080,1296,1149,1409
WBGene00007230,7,8,2,6
WBGene00007237,508,522,477,492
WBGene00007239,0,0,0,0
WBGene00007240,12,11,7,19
WBGene00007241,4,2,1,3
WBGene00044658,3,1,2,4
WBGene00077583,0,0,0,0
WBGene00007231,0,1,1,1
WBGene00007232,0,2,1,0
WBGene00007233,37,15,22,10
WBGene00007234,1317,1341,1237,1421
WBGene00007236,318,302,294,319
