wormbase_gene,Uniq_reads_num.5784560.,Uniq_reads_num.5230459.
WBGene00012951,491,265
WBGene00021655,371,218
WBGene00044466,58,41
WBGene00012964,527,383
WBGene00012968,30,24
WBGene00012970,6,9
WBGene00012977,798,451
WBGene00012978,1044,602
WBGene00013007,2,4
WBGene00013015,389,219
WBGene00013018,497,297
WBGene00013019,464,241
WBGene00013020,356,328
WBGene00013023,6,7
WBGene00021658,290,185
WBGene00021679,36,26
WBGene00021682,96,72
WBGene00021690,2,2
WBGene00021691,379,629
WBGene00021692,39,26
WBGene00021687,77,54
WBGene00044949,50,35
WBGene00013026,472,329
WBGene00013035,242,473
WBGene00013037,52,99
WBGene00013030,406,239
WBGene00021715,184,100
WBGene00021730,110,73
WBGene00021732,236,120
WBGene00021153,562,308
WBGene00021161,42,122
WBGene00021739,17,9
WBGene00021745,2,5
WBGene00021750,166,100
WBGene00021758,143,71
WBGene00013048,3,6
WBGene00044210,12,10
WBGene00013087,3,35
WBGene00013089,1,3
WBGene00013091,5,3
WBGene00021763,2464,1149
WBGene00021768,378,420
WBGene00013103,99,169
WBGene00013104,10,15
WBGene00194647,2,9
WBGene00021779,148,383
WBGene00021791,37,85
WBGene00021781,390,170
WBGene00021785,166,101
WBGene00013127,389,258
WBGene00021795,130,78
WBGene00021796,2,4
WBGene00013136,87,255
WBGene00175030,331,175
WBGene00194906,153,52
WBGene00013139,330,202
WBGene00013141,51,24
WBGene00013142,1,12
WBGene00013146,2,3
WBGene00013161,83,66
WBGene00013169,1,3
WBGene00021800,1530,1421
WBGene00021812,245,155
WBGene00021813,625,368
WBGene00021815,224,175
WBGene00021817,30,41
WBGene00021818,62,62
WBGene00013181,281,675
WBGene00021830,493,308
WBGene00021832,1239,750
WBGene00021835,50,118
WBGene00021828,1002,524
WBGene00021841,380,235
WBGene00021843,1000,859
WBGene00013195,12,12
WBGene00013193,485,362
WBGene00013200,300,201
WBGene00021853,307,167
WBGene00021849,495,428
WBGene00021850,2,5
WBGene00021852,247,404
WBGene00021855,332,258
WBGene00021866,11,17
WBGene00021867,23,23
WBGene00013219,246,199
WBGene00185067,293,247
WBGene00013213,427,242
WBGene00013216,61,79
WBGene00013218,131,97
WBGene00021883,770,847
WBGene00021884,65,28
WBGene00021894,6,30
WBGene00021898,148,100
WBGene00044485,1,5
WBGene00044488,43,32
WBGene00045397,4,11
WBGene00013210,413,247
WBGene00013211,9,15
WBGene00021899,1655,876
WBGene00021900,307,223
WBGene00021908,3,93
WBGene00021909,68,132
WBGene00021930,923,669
WBGene00021923,113,81
WBGene00021926,653,554
WBGene00021943,237,206
WBGene00013236,250,205
WBGene00013237,621,652
WBGene00013239,396,238
WBGene00013242,78,125
WBGene00013243,223,189
WBGene00013256,1557,847
WBGene00013257,1,2
WBGene00013247,172,87
WBGene00013266,78,100
WBGene00013267,226,178
WBGene00013269,180,95
WBGene00013248,125,73
WBGene00013253,362,212
WBGene00013278,4,7
WBGene00013280,2,1
WBGene00021959,1085,658
WBGene00021960,346,240
WBGene00044612,10,6
WBGene00013292,8,10
WBGene00013297,753,2297
WBGene00194649,29,28
WBGene00013321,10,10
WBGene00013323,172,122
WBGene00013325,189,274
WBGene00013327,6,18
WBGene00013329,16,33
WBGene00013332,293,156
WBGene00013335,14,20
WBGene00044258,237,162
WBGene00044741,2,6
WBGene00013306,82,80
WBGene00021965,4,5
WBGene00021974,1,1
WBGene00013349,251,160
WBGene00013345,300,213
WBGene00021984,84,159
WBGene00021996,60,523
WBGene00012385,897,535
WBGene00013360,794,610
WBGene00022021,1287,815
WBGene00013373,372,219
WBGene00044745,69,24
WBGene00013376,402,222
WBGene00077453,423,270
WBGene00013387,13,17
WBGene00013391,913,980
WBGene00013392,1141,1033
WBGene00013393,1738,3206
WBGene00013406,70,74
WBGene00013407,482,373
WBGene00013418,1,1
WBGene00022026,18,17
WBGene00022030,2,8
WBGene00022033,10,7
WBGene00022035,182,122
WBGene00022036,534,308
WBGene00022040,3,6
WBGene00013422,94,59
WBGene00044156,3,6
WBGene00013436,257,158
WBGene00013437,7,67
WBGene00013448,35,58
WBGene00013429,5,35
WBGene00013432,90,68
WBGene00013433,61,43
WBGene00013434,474,311
WBGene00013435,270,214
WBGene00022046,620,417
WBGene00022047,40,87
WBGene00013459,23,56
WBGene00013449,6,115
WBGene00022052,328,202
WBGene00022055,112,65
WBGene00022057,573,333
WBGene00013464,395,331
WBGene00022092,498,430
WBGene00022093,63,124
WBGene00022099,157,119
WBGene00022075,43,43
WBGene00022079,4,32
WBGene00013473,29,296
WBGene00013474,46,466
WBGene00013476,3,65
WBGene00013477,151,244
WBGene00013478,9,76
WBGene00022102,3,52
WBGene00013484,11,78
WBGene00012393,137,102
WBGene00050915,4,63
WBGene00022115,213,174
WBGene00022110,110,253
WBGene00022114,3851,2732
WBGene00022125,45,50
WBGene00022150,351,251
WBGene00022155,9,40
WBGene00022157,17,28
WBGene00022160,10,15
WBGene00022162,3,60
WBGene00022146,120,231
WBGene00022166,359,214
WBGene00022176,436,292
WBGene00022177,15,21
WBGene00022178,504,898
WBGene00022169,593,603
WBGene00022188,150,133
WBGene00022191,28,38
WBGene00022192,903,636
WBGene00022194,70,149
WBGene00022221,7,3
WBGene00022228,17,49
WBGene00022229,14,12
WBGene00022237,22,13
WBGene00022244,407,282
WBGene00022248,87,108
WBGene00194832,2,1
WBGene00022250,161,80
WBGene00022255,1,1
WBGene00022259,58,51
WBGene00022260,44,73
WBGene00022273,111,76
WBGene00013514,62,138
WBGene00013515,30,61
WBGene00013516,5,16
WBGene00013531,57,61
WBGene00013532,344,255
WBGene00022280,129,107
WBGene00013573,4,4
WBGene00013568,11,16
WBGene00022287,3,1
WBGene00013550,419,228
WBGene00013551,301,182
WBGene00013561,273,146
WBGene00022292,73,38
WBGene00013576,195,142
WBGene00013577,742,989
WBGene00022297,188,156
WBGene00022303,14,4
WBGene00022307,79,191
WBGene00012407,300,551
WBGene00012420,2,5
WBGene00022336,3594,4565
WBGene00013604,66,39
WBGene00044260,3,19
WBGene00022366,103,95
WBGene00022368,338,236
WBGene00022382,12135,14870
WBGene00050885,18,13
WBGene00022376,231,128
WBGene00022380,637,727
WBGene00022383,21,43
WBGene00022385,6,34
WBGene00013605,212,161
WBGene00022398,545,351
WBGene00022410,7,9
WBGene00022517,3,11
WBGene00022503,1,1
WBGene00013832,3,8
WBGene00022545,1,18
WBGene00022562,10,26
WBGene00022564,41,22
WBGene00022507,3,44
WBGene00022573,6,2
WBGene00044371,7,1
WBGene00022569,53,123
WBGene00022576,7,6
WBGene00045305,9,21
WBGene00022581,5,4
WBGene00013863,10,21
WBGene00022589,3,34
WBGene00013870,12,19
WBGene00013879,12,162
WBGene00043952,6,30
WBGene00013884,129,274
WBGene00022609,12,9
WBGene00013892,876,540
WBGene00013894,1453,1090
WBGene00013896,8,22
WBGene00013899,11,18
WBGene00022612,5,6
WBGene00045365,15,16
WBGene00195189,3,3
WBGene00022621,7,61
WBGene00022633,268,402
WBGene00022634,13,118
WBGene00164985,40,54
WBGene00014176,666,420
WBGene00022653,374,506
WBGene00014203,119,66
WBGene00014209,824,491
WBGene00014210,2,1
WBGene00014213,123,182
WBGene00014214,10,33
WBGene00014218,2587,1604
WBGene00014226,82,71
WBGene00022857,112,70
WBGene00195239,164,81
WBGene00022850,511,268
WBGene00022851,321,203
WBGene00022852,297,224
WBGene00014227,529,292
WBGene00014239,1,36
WBGene00022864,222,124
WBGene00022866,22,46
WBGene00022867,33,50
WBGene00022868,16,30
WBGene00022881,419,230
WBGene00022883,1061,583
WBGene00022885,120,62
WBGene00044393,1,23
WBGene00022891,11,15
WBGene00022893,26,37
WBGene00044396,14,18
WBGene00014246,4,36
WBGene00014247,16,103
WBGene00014249,1713,1341
WBGene00014250,1093,666
WBGene00044007,2,17
WBGene00014252,320,597
WBGene00014253,428,649
WBGene00014256,298,153
WBGene00014258,1299,1153
WBGene00022665,3,3
WBGene00022666,45,58
WBGene00044481,34,100
WBGene00013949,4,2
WBGene00013956,29,228
WBGene00013959,6,4
WBGene00013968,3,5
WBGene00022695,14,39
WBGene00022699,1,11
WBGene00022704,261,180
WBGene00022706,31,277
WBGene00022709,12,128
WBGene00086560,2,6
WBGene00022734,533,367
WBGene00022749,773,485
WBGene00022752,5,12
WBGene00013982,3,3
WBGene00013988,2,8
WBGene00013989,11,5
WBGene00013984,36,29
WBGene00013986,3,9
WBGene00013987,7,58
WBGene00013999,24,185
WBGene00014000,79,231
WBGene00044355,12,16
WBGene00014006,65,115
WBGene00014007,5,42
WBGene00022772,16,9
WBGene00022773,121,71
WBGene00022775,393,205
WBGene00194816,14,152
WBGene00022780,3,42
WBGene00022782,2,7
WBGene00014017,680,657
WBGene00014018,590,386
WBGene00014019,383,275
WBGene00014020,483,275
WBGene00014013,1968,1266
WBGene00014016,590,621
WBGene00014029,3,68
WBGene00014031,41,43
WBGene00014022,345,255
WBGene00014024,3,18
WBGene00014034,216,132
WBGene00014036,1324,878
WBGene00014039,3,5
WBGene00014048,4,19
WBGene00014053,10,16
WBGene00014058,850,661
WBGene00014060,51,33
WBGene00014062,3,15
WBGene00022791,117,57
WBGene00022792,861,470
WBGene00022793,2038,1207
WBGene00022795,2,34
WBGene00044762,271,228
WBGene00044763,7,48
WBGene00022802,42,22
WBGene00022803,312,192
WBGene00022810,2,8
WBGene00022813,31,54
WBGene00045277,2,2
WBGene00014074,6,5
WBGene00014076,119,129
WBGene00014082,11,129
WBGene00014083,351,210
WBGene00014086,1625,1499
WBGene00022820,1225,2280
WBGene00022821,571,1315
WBGene00022822,881,1621
WBGene00022824,1,1
WBGene00045394,2883,4386
WBGene00022825,1,1
WBGene00014090,75,158
WBGene00014091,172,405
WBGene00044009,5,4
WBGene00014096,777,598
WBGene00014099,2,4
WBGene00022650,10,74
WBGene00014112,595,276
WBGene00194912,4,80
WBGene00014106,4,13
WBGene00014108,137,282
WBGene00014116,24,210
WBGene00014118,162,105
WBGene00014125,7,19
WBGene00014129,6,84
WBGene00014136,27,15
WBGene00014141,197,399
WBGene00014148,100,142
WBGene00014150,50,83
WBGene00014157,23,20
WBGene00014158,37,362
WBGene00014166,65,35
WBGene00014169,20,198
WBGene00014170,1,6
WBGene00022836,623,347
WBGene00022834,13,74
WBGene00022835,677,378
